Title,CAS Number,Use(s),Synonym(s),Latest Criteria,Inhalation Unit Risk (μg/cubic meter)-1,Inhalation Slope Factor (mg/kg-day)-1,Oral Slope Factor (mg/kg-day)-1,Last Cancer Potency Revision,Acute REL (μg/m3),Species,Acute REL Toxicologic Endpoint,Acute REL Target Organs,Severity,Last Acute REL Revision,8-Hour Inhalation REL (μg/m3),Last 8-Hour REL Revision,Chronic Inhalation REL (μg/m3),Chronic Toxicologic Endpoint,Chronic Target Organs,Human Data,Health Risk Category,Cancer Risk at PHG,MCL value (mg/L),Cancer Risk at MCL,Notification Level (μg/L),Public Health Goal (mg/L),Last PHG Revision,No Significant Risk Level (NSRL) - Inhalation,No Significant Risk Level (NSRL) - Oral,Maximum Allowable Dose Level (MADL) for chemicals causing reproductive toxicity - Inhalation,Maximum Allowable Dose Level (MADL) for chemicals causing reproductive toxicity - Oral,Last NSRL/MADL Revision,Cancer,Cancer - Listing Mechanism,Reproductive Toxicity,Chemical listed under Proposition 65 as causing,Developmental Toxicity - Date of Listing,Developmental Toxicity - Listing Mechanism,Female Reproductive Toxicity - Date of Listing,Female Reproductive Toxicity - Listing Mechanism,Male Reproductive Toxicity - Date of Listing,Male Reproductive Toxicity - Listing Mechanism,"Child-specific refence dose (chRD) (mg/kg-day, unless noted)",Last chRD revision,CHHSL Commercial Non-volatile (mg/kg soil),"CHHSL Commercial Volatile, engineered fill (mcg/l soil gas)","CHHSL Commercial Volatile, no engineered fill (mcg/l soil gas)","CHHSL Residential Volatile, engineered fill (mcg/l soil gas)","CHHSL Residential Volatile, no engineered fill (mcg/l soil gas)",Soil/soil-gas screening number (CHHSL) Residential Non-volatile (mg/kg soil)
Acrolein,107-02-8,"Biocide: aquatic herbicide, fumigant, microbiocide, molluscide (considered an alternative to methyl bromide); preparation of biological specimens; component of tobacco smoke",acquinite; acraldehyde; acrylaldehyde; acrylic aldehyde; AI3-24160; aqualin; aqualine; allyl aldehyde; biocide; caswell No 009; Prop-2-enal,Reference Exposure Levels,,,,,2.5,Human,Respiratory and eye irritation,"Respiratory system, eyes",Mild,2008,0.7,2008,0.35,,Respiratory system,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrylamide,79-06-1,"Precursor to polyacrylamides used in wastewater treatment, gel electrophoresis, ore processing; chemical intermediate in dyes and fabrics; decay product of polyacrylamide in commercial herbicides; component of tobacco smoke; contaminant that forms during the baking, frying or roasting of certain plant-based foods, particularly starchy foods.",2-Propenamide; prop-2-enamide; Acrylic amide,Proposition 65 NSRLs/MADLs,1.3 E-3,4.5 E+0,4.5 E+0,,,,,,,,,,,,,,,,,,,,,,,,,2010,Currently listed,"AB-IARC, AB-US EPA",Currently listed,"Developmental Toxicity, Male Reproductive Toxicity",2/25/2011,AB-NTP-CERHR,,,2/25/2011,AB-NTP-CERHR,,,,,,,,
Acrylic Acid,79-10-7,"Manufacture of plastics, polymers, paint, leather, and paper coatings; chemical intermediate in the production of acrylic esters and resins, detergents, and water treatment chemicals; component of tobacco smoke",Acroleic acid;Ethylenecarboxylic acid;Propenoic acid;Vinylformic acid;CH2=CHCOOH;Propene acid;Kyselina akrylova;Rcra waste number U008;UN 2218;Acrylate;Glacial acrylic acid,Acute Reference Exposure Levels,,,,,6000,Rabbit,Respiratory irritation,"Respiratory system, eyes",Mild,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrylonitrile,107-13-1,"Production of acrylic and modacrylic fibers; chemical intermediate in synthesis of antioxidants, pharmaceuticals, dyes, and surface-active agents; component of emissions, auto exhaust, and tobacco smoke","Acrylon;Carbacryl;Cyanoethylene;Fumigrain;Propenenitrile;Ventox;Vinyl cyanide;VCN;CH2CHCN;Acritet;Acrylnitril;Acrylonitrile monomer;Akrylonitryl;Cianuro di vinile;Cyanure de vinyle;ENT 54;Miller's fumigrain;Nitrile acrilico;Nitrile acrylique;TL 314;Acrylonitrile, inhibited;Akrylonitril;Rcra waste number U009;UN 1093;Vinylkyanid;Cyanoethene;ACN;AN;Propenenenitrile;Propenitrile;Propenonitrile",Chronic Reference Exposure Levels,2.9 E-4,1.0 E+0,1.0 E+0,,,,,,,,,,5,,Respiratory system,No,,,,,,,,,,,,,Currently listed,FR,,,,,,,,,,,,,,,,
Actinomycin D,50-76-0,Medicine (antineoplastic),"dilactone actinomycin D acid, ACT, actinomycin A IV",Proposition 65 NSRLs/MADLs,2.5 E+0,8.7 E+3,8.7 E+3,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,FR,Currently listed,Developmental Toxicity,10/1/1992,FR,,,,,,,,,,,,
Aflatoxins,,Naturally occurring mycotoxins produced by the fungi Aspergillus flavus and Aspergillus parasiticus; aflatoxin metabolites may be found in the milk of animals fed contaminated feed,"AFB1, AFB2, AFG1, AFG2, AFM1, AFM2, AFQ1, Aflatoxicol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Alachlor,15972-60-8,Herbicide,"2-chloro-n-(2,6-diethylphenyl)-n-(methoxymethyl)-acetamide; Alachlore; Alanex; Alanox; Alochlor; Chimiclor; Alpha-chloro-2',6'-diethyl-n-methoxymethylacetanilide; Lasagrin; Lasso; Lazo; Metachlor; Methachlor; Pillarzo; EPA Pesticide Code: 090501",California Public Health Goals,,,5.6 E-2,,,,,,,,,,,,,,Carcinogenicity,n/a,0.002,n/a,,0.004,2013,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Albuterol,18559-94-9,"Medication, as a bronchodilator or tocolytic",Salbutamol; Proventil; Sultanol; Aerolin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Considered, but not listed",,,,,,,,,,,,,,,
Alcoholic beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
"Alcoholic Beverages, when associated with alcohol abuse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Aldrin,309-00-2,Formerly used as an insecticide. All uses except termite control banned in US in 1974; all uses banned in US in 1987.,,Proposition 65 NSRLs/MADLs,4.9 E-3,1.7 E+1,1.7 E+1,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
All-trans Retinoic Acid,302-79-4,"Metabolite of vitamin A (retinol); medicine (acne treatment), skin care products","ATRA; trans-Retinoic acid; Tretinoin; 15-Apo-beta-caroten-15-oic acid; 3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraenoic acid; Vitamin A acid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,1/1/1989,SQE,,,,,,,,,,,,
Allyl Chloride,107-05-1,"Production of epichlorohydrin, glycerin, pesticides, and pharmaceuticals",3-Chloropropene; 3-Chloro-1-propene; Chloropropylene,,6.0 E-6,2.1 E-2,2.1 E-2,,,,,,,,,,,,,,,,,,,,,,,,,,Formerly listed,AB-US EPA,,,,,,,,,,,,,,,,
Allyl Isovalerate,2835-39-4,"Allyl isovalerate is a colorless liquid primarily used as a flavoring agent and as in cosmetics, lotions, and perfumes and in certain food products",AIV; allyl 3-methylbutyrate; 2-propenyl 3-methylbutanoate; 2-propenyl isopentanoate; ally isopentanoate; European Inventory of Existing Commercial Chemical Substances (EINECS) No. 220-609-7; Flavouring Extract Manufacturers’ Association (FEMA) No. 2045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Considered, but not listed",,,,,,,,,,,,,,,,,
"Aloe Vera, non-decolorized whole leaf extract",,Dietary supplement and food and beverage additive. Also used as a therapeutic dermatologic agent in a variety of topical health care products and cosmetics.,"Aloe vera whole leaf extract (nondecolorized), Nondecolorized whole leaf extract of Aloe barbadensis Miller (Aloe vera), Aloe vera juice, Aloe juice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
alpha-Methylstyrene,98-83-9,,"a-methylstyrene, alpha-methyl styrene",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,Formerly listed,,,,7/29/2011,LC,,,,,,,,,,
Alprazolam,28981-97-7,Medicine (treatment of anxiety disorders); most prescribed and most misused benzodiazepine in US.,"8-chloro-1-methyl-6-phenyl-4H-[1,2,4]triazolo[4,3-a][1,4]benzodiazepine; 8-chloro-1-methyl-6-phenyl-4h-s-triazolo[4,3-a][1,4]benzodiazepine; 8-Chloro-1-methyl-6-phenyl-4H-s-triazolo [4,3-alpha]-1,4-benzodiazepine; Alplax; Alprazlam; Tranquinal; Xanax; Xanor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,7/1/1990,FR,,,,,,,,,,,,
Altretamine,645-05-6,Medicine (antineoplastic),"1,3,5-Triazine-2,4,6-triamine, N,N,N',N',N'',N''-hexamethyl-; Melamine, hexamethyl-; Hemel; Hexamethylmelamine; HMM; NSC 13875; 2,4,6-Tris(Dimethylamino)-s-triazine; 2,4,6-Tris(dimethylamino)-1,3,5-triazine; s-Triazine, 2,4,6-tris(dimethylamino)-; Hexastat; HTM; HXM; Hexalen; N,N,N',N',N'',N''-Hexamethyl-1,3,5-triazine-2,4,6-triamine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,"Developmental Toxicity, Male Reproductive Toxicity",8/20/1999,FR,,,8/20/1999,FR,,,,,,,,
Aluminum,7429-90-5,"Alloys for beverage containers, electronics, vehicles, appliances, construction materials, household items, cosmetics; component of paints, pigments, missile fuel, and explosives; optical coatings",Aluminum bronze; Aluminum flake; Aluminum-27; Aluminum dehydrated; Aluminum powder; Caswell No. 028A; CI 77000; Emanay atomized aluminum powder; Metana; Noral aluminum; Noral ink grade Aluminum; EPA Pesticide Code: 000111,California Public Health Goals,,,,,,,,,,,,,,,,,"Neurotoxicity, immunotoxicity",n/a,1,n/a,,0.6,2001,,,,,,,,,,,,,,,,,,,,,,,
Amantadine Hydrochloride,665-66-7,"Medicine (NMDA-receptor antagonist, antiviral; treatment for influenza, Parkinson's disease, and shingles)","1-Adamantanamine hydrochloride, 1-Adamantylamine hydrochloride, 1-Aminoadamantane hydrochloride",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,2/27/2001,FR,,,,,,,,,,,,
Amikacin Sulfate,39831-55-5,Medicine (antibiotic),"BB-K 8; y-alpha-d-glucopyranosyl-(1-4))-n(sup1)-(4-amino-2-hydroxy-1-oxobutyl)-2-deox; amikacin bis(sulphate); D-Streptamine, O-3-amino-3-deoxy-?-D-glucopyranosyl-(1?6)-O-[6-amino-6-deoxy-?-D-glucopyranosyl-(1?4)]-N1-(4-amino-2-hydroxy-1-oxobutyl)-2-deoxy-, (S)-, sulfate (1:2) (salt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,7/1/1990,FR,,,,,,,,,,,,
"1-Amino-2,4-dibromoanthraquinone",81-49-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-NTP,,,,,,,,,,,,,,,,
1-Amino-2-methylanthraquinone,82-28-0,Dye; chemical intermediate in production of dyes. No production or import in the US since 1974.,C.I. disperse orange 11; 2-Methyl-1-anthraquinonylamine; Acetate fast orange R,Proposition 65 NSRLs/MADLs,4.3 E-5,1.5 E-1,1.5 E-1,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,LC,,,,,,,,,,,,,,,,
4-Amino-2-nitrophenol,119-34-6,Hair dye,4-Hydroxy-3-nitroaniline; 1-Amino-3-nitro-4-hydroxybenzene; 2-Nitro-4-aminophenol; 3-Nitro-4-hydroxyaniline; Fourrine 57; Fourrine Brown PR; Fourrine Brown Propyl; o-Nitro-p-aminophenol; p-Amino-o-nitrophenol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
2-Amino-4-(isopropyl-d7-amino)-6-chloro-triazine,6190-65-4,,"DEA, 2-Amino-4-(isopropylamino)-6-chloro-1,3,5-triazine,, , 2-Amino-4-isopropylamino-6-chlorotriazine,, , des-ethyl atrazine",,,,,,,,,,,,,,,,,,,,,,,,,,,,100 µg/day,,,,Currently listed,"Developmental Toxicity, Female Reproductive Toxicity",7/15/2016,AB-US EPA,7/15/2016,AB-US EPA,,,,,,,,,,
2-Amino-4-Chlorophenol,95-85-2,"Hair dye, to color the hair",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
3-Amino-9-ethylcarbazolehydrochloride,6109-97-3,Chemical intermediate in production of aromatic amine dyes (CI Pigment Violet 23 and CI Direct Blue 108),3-Amino-9-ethylcarbazole hydrochloride,Proposition 65 NSRLs/MADLs,2.2 E-5,7.8 E-2,7.8 E-2,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
Amino-alpha-carboline,26148-68-5,Found in cooked food as byproduct of browning reaction; component of tobacco smoke,"AC; AAC; A-alpha-C; Amino-alpha-caboline; 2-Amino-alpha-caboline; Glob-P-2; 1H-Pyrido(2,3-b)indol-2-amine; 2-Amino-9H-pyrido[2-3-b]indole; 2-Amino-alpha-carboline; 9H-1,9-Diazafluoren-2-amine",Proposition 65 NSRLs/MADLs,1.1429 E-4,4.0 E-1,4.0 E-1,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,AB-IARC,,,,,,,,,,,,,,,,
2-Aminoanthraquinone,117-79-3,Production of dyes,"9,10-Anthracenedione, 2-amino-;Anthraquinone, 2-amino-;",Proposition 65 NSRLs/MADLs,9.4 E-6,3.3 E-2,3.3 E-2,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,LC,,,,,,,,,,,,,,,,
p-Aminoazobenzene,60-09-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-IARC,,,,,,,,,,,,,,,,
o-Aminoazotoluene,97-56-3,"Azo dyes, chemical intermediate (dyes)","Benzenamine; C.I. Solvent Yellow 3; o-AT; 3,2-Amino-5-azotoulene; Toluazotoluidine; 2-Aminoazotoluene; Butter yellow; CI 11160; 2',3-dimethyl-4-aminoazobenzene; Fast yellow AT; Fat yellow B; Hidaco oil yellow; Oil yellow C; Organol yellow 2T; Somalia yellow R; Sudan yellow RRA; Toluazotoluidine; ortho-tolueneazo-ortho-toluidine; Tulabase fast garnet GB; Waxakol yellow NL",Proposition 65 NSRLs/MADLs,1.1 E-3,3.8 E+0,3.8 E+0,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
4-Aminobiphenyl,92-67-1,Production of azo dyes; component of tobacco smoke,4-Biphenylamine; 4-Aminodiphenyle; 4-Phenylaniline; p-Aminobiphenyle; Paraaminodiphenyle; p-Biphenylamine; p-Phenylaniline,,6.0 E-3,2.1 E+1,2.1 E+1,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,LC,,,,,,,,,,,,,,,,
2-Aminofluorene,153-78-6,Research chemical,"9H-Fluoren-2-amine; Fluoren-2-amine; 2-Aminofluorene; 2-Fluorenylamine; Aminofluoren; Fluorene, 2-amino-; 2-Fluoreneamine; fluoren-2-ylamine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Aminoglutethimide,125-84-8,"Medicine (treatment of Cushing's syndrome, metastatic breast cancer); used by body builders in a steroid cycle","2,6-Piperidinedione, 3-(4-aminophenyl)-3-ethyl-; Glutarimide, 2-(p-aminophenyl)-2-ethyl-; 2-(p-Aminophenyl)-2-ethylglutarimide; 3-(4-Aminophenyl)-3-ethyl-2,6-piperidindion; 3-Ethyl-3-(p-aminophenyl)-2,6-dioxopiperidine; p-Aminoglutethimide; Cytadren",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,7/1/1990,FR,,,,,,,,,,,,
Aminoglycosides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,10/1/1992,FR,,,,,,,,,,,,
Aminopterin,54-62-6,Former medicine (antineoplastic with immunosuppressive qualities) to treat leukemia until the 1950s; current investigation for further medicinal use.,AGPA; 4-Aminofolic acid; 4-Amino-PGA; 4-Aminopteroylglutamic acid; Aminopterine; 4-Amino-4-deoxypteroylglutamate; 4-Amino-folicaci; Aminopterin sodium; Aminopteroylglutamic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,"Developmental Toxicity, Female Reproductive Toxicity",7/1/1987,SQE,7/1/1987,SQE,,,,,,,,,,
Amiodarone Hydrochloride,19774-82-4,Medicine (antiarrhythmic; ion channel blocker),"2-Butyl-3-benzofuranyl-4-[2-(diethy?lamino)ethoxy]-3,5-diiodophenyl ketone hydrochloride",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,"Developmental Toxicity, Male Reproductive Toxicity, Female Reproductive Toxicity",8/26/1997,FR,8/26/1997,FR,8/26/1997,FR,,,,,,,,
Amitraz,33089-61-1,"Acaricide, insecticide; veterinary medicine (ectoparasiticide)","1,5-Di(2,4-dimethylphenyl)-3-methyl-1,3,5-triazapenta-1,4-diene; methyl-bis(2,4-xylyliminomethyl)amine; N-Methyl-N'-2,4-xylyl-N-(N-2,4(xylylformimidoyl)-formamidine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,3/30/1999,AB-US EPA,,,,,,,,,,,,
Amitrole,61-82-5,"Herbicide for non-cropland grasses, broadleaf weeds, and aquatic weeds; use on food crops in the US cancelled by the EPA in 1971","3-Amino-s-triazole; 3-Amino-1,2,4-triazole; Amerol; Aminotriazole; Amitol; Amitril; Amitrol; Amizol; Azaplant; Azolan; Azole; Cytrol; Cytrole; Diurol; Domatol; Elmasil; Emisol; Herbidal total; Herbizole; Ramizole; Vorox; Weedazin; Weedazol; Weedex granulat; EPA Pesticide Code: 004401",Proposition 65 NSRLs/MADLs,2.7 E-4,9.4 E-1,9.4 E-1,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
Ammonia,7664-41-7,"Fertilizer, household cleaning solution, fermentation (nitrogen source), refrigerant, fuel, antimicrobial agent for animal feed and beef products; production of fertilizer and explosives; component of tobacco smoke",Am-Fol; Ammonia gas; Anhydrous ammonia; Aqua ammonia; Aromatic Ammonia; Caswell No. 041; Liquid ammonia; Nitro-Sil; Spirit of Hartshorn; EPA Pesticide Code: 005302,Chronic Reference Exposure Levels,,,,,3200,Human,Respiratory and eye irritation,Respiratory system; eyes,Mild,1999,,,200,,Respiratory system,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amoxapine,14028-44-5,Medicine (antidepressant),"2-Chloro-11-(piperazin-1-yl)dibenzo[b,f][1,4]oxazepine; 8-Chloro-6-piperazin-1-ylbenzo[b][1,4]benzoxazepine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,5/15/1998,FR,,,,,,,,,,,,
Amsacrine,51264-14-3,Medicine (treatment of leukemia),AMSA; Acridinylanisidide; N-(4-(9-acridinylamino)-3-methoxyphenyl)-methanesulfonamide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
Anabolic Steroids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,"Male Reproductive Toxicity, Female Reproductive Toxicity",,,4/1/1990,FR,4/1/1990,FR,,,,,,,,
Analgesic mixtures containing Phenacetin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
Androstenedione,63-05-8,Performance enhancement (androgenic anabolic steroid precursor),"4-Androstenedione; 17-Ketoestosterone; 4-Androstene-3,17-dione; Andro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-NTP,,,,,,,,,,,,,,,,
Angiotensin converting enzyme (ACE) inhibitors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,10/1/1992,FR,,,,,,,,,,,,
Anilazine,101-05-3,Pesticide; fungicide,Anilazine; Dyrene; Anilazin; Triazine; Zinochlor; Kemate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Considered, but not listed",,,,,,,,,,,,,,,
Aniline,62-53-3,"Solvent, antiknock additive to gasoline; chemical intermediate in production of rubber, herbicides, dyes and pigments, resins, varnishes, polyurethane, explosives; component of tobacco smoke",AI3-03053; Aminobenzene; Aminophen; Aniline-oil; Anyvim; Arylamine; Benzamine; Benzidam; Caswell No. 051C; Cyanol; Krystallin; Kyanol; NCI-C03736; Phenylamine; EPA Pesticide Code: 251400,,1.6 E-6,5.7 E-3,5.7 E-3,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
Aniline Hydrochloride,142-04-1,Dyeing and printing; chemical synthesis,Benzenamine hydrochloride; Aniline salt; Phenylamine hydrochloride; Aniline chloride; Phenylammonium chloride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
o-Anisidine,90-04-0,Chemical intermediate in production of azo dyes and guaiacol,2-Anisidine; 2-methoxy-1-aminobenzene; 2-methoxyphenylamine; o-Amino-anisole; o-Methoxyaniline,Proposition 65 NSRLs/MADLs,4.0 E-5,1.4 E-1,1.4 E-1,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
o-Anisidine Hydrochloride,134-29-2,"Corrosion inhibitor, antioxidant for polymercaptan resins; chemical intermediate in production of dyes and pigments, pharmaceuticals",o-Aminoanisole hydrochloride; AI3-08584; 2-aminoanisole; 2-aminomethoxybenzene; o-aminomethoxybenzene; 2-anisidine; o-anisylamine; Fast Red BB base; CI 37115; 2-methoxy-1-aminobenzene; o-methoxyaniline; 2-methoxyaniline; 2-methoxybenzenamine; o-methoxyphenylamine; 2-methoxyphenylamine,Proposition 65 NSRLs/MADLs,3.1 E-5,1.1 E-1,1.1 E-1,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
