STATE OF CALIFORNIA,,,,,,,,,,,,
ENVIRONMENTAL PROTECTION AGENCY,,,,,,,,,,,,
OFFICE OF ENVIRONMENTAL HEALTH HAZARD ASSESSMENT,,,,,,,,,,,,
SAFE DRINKING WATER AND TOXIC ENFORCEMENT ACT OF 1986,,,,,,,,,,,,
,,,,,,,,,,,,
CHEMICALS KNOWN TO THE STATE TO CAUSE CANCER OR REPRODUCTIVE TOXICITY,,,,,,,,,,,,
13-Sep-19,,,,,,,,,,,,
,,,,,,,,,,,,
"The Safe Drinking Water and Toxic Enforcement Act of 1986 requires that the Governor revise and republish at least once per year the list of chemicals known to the State to cause cancer or reproductive toxicity.  For easy reference, chemicals which are newly added are shown in underline.  Chemicals or endpoints shown in strikeout were placed on the Proposition 65 list on the date noted, and have subsequently been removed.  A hyperlink is provided for the basis for removing the chemical.",,,,,,,,,,,,
"In the Listing Mechanism column, ""AB"" denotes authoritative bodies, ""SQE"" denotes State's Qualified Experts, ""FR"" denotes formally required to be labeled or identified, and ""LC"" denotes Labor Code.  For those chemicals for which the basis for listing documentation is available electronically, a hyperlink to the documentation is provided.  The identification number indicated in the following list is the Chemical Abstracts Service (CAS) Registry Number.  No CAS number is given when several substances are presented as a single listing.  The date refers to the initial appearance of the chemical on the list.  For those chemicals for which a no significant risk level (NSRL) for carcinogens or maximum allowable dose level (MADL) for reproductive toxicants has been adopted, it is denoted in the column, ""NSRL or MADL.""  For those NSRLs or MADLs for which the risk assessment documentation is available electronically, a hyperlink to the documentation is provided.",,,,,,,,,,,,
,,,,,,,,,,,,
Chemical,Type of Toxicity,Listing Mechanism,CAS No.,Date Listed,NSRL or MADL (µg/day)a,,,,,,,
Benzene,cancer,LC,71-43-2,27-Feb-87,"6.4 (oral)
13 (inhalation)",,,,,,,
Benzene,"developmental, male ",SQE,71-43-2,26-Dec-97,"24 (oral)
49 (inhalation)",,,,,,,
Benzidine [and its salts],cancer,LC,92-87-5,27-Feb-87,0.001,,,,,,,
Benzidine-based dyes,cancer,FR,---,1-Oct-92,,,,,,,,
Benzodiazepines,developmental,FR,---,1-Oct-92,,,,,,,,
Benzo[b]fluoranthene,cancer,SQE,205-99-2,1-Jul-87,0.096 (oral),,,,,,,
Benzo[j]fluoranthene,cancer,SQE,205-82-3,1-Jul-87,0.11 (oral),,,,,,,
Benzo[k]fluoranthene,cancer,SQE,207-08-9,1-Jul-87,,,,,,,,
Benzofuran,cancer,AB,271-89-6,1-Oct-90,1.1,,,,,,,
Benzophenone,cancer,LC,119-61-9,22-Jun-12,,,,,,,,
Benzo[a]pyrene,cancer,SQE,50-32-8,1-Jul-87,0.06,,,,,,,
Benzotrichloride,cancer,SQE,98-07-7,1-Jul-87,,,,,,,,
Benzphetamine hydrochloride,developmental,FR,5411-22-3,1-Apr-90,,,,,,,,
Benzyl chloride,cancer,AB,100-44-7,1-Jan-90,4,,,,,,,
Benzyl violet 4B,cancer,SQE,1694-09-3,1-Jul-87,30,,,,,,,
Beryllium and beryllium compounds,cancer,SQE,---,1-Oct-87,,,,,,,,
   Beryllium ,,,,,0.1,,,,,,,
   Beryllium oxide,,,,,0.1,,,,,,,
   Beryllium sulfate,,,,,0.0002,,,,,,,
Betel quid with tobacco,cancer,AB,---,1-Jan-90,,,,,,,,
Betel quid without tobacco,cancer ,LC,  ---,3-Feb-06,,,,,,,,
Bevacizumab,"developmental, female",FR,216974-75-3,8-Mar-19,,,,,,,,
"2,2-Bis(bromomethyl)-1,3-propanediol",cancer,AB,3296-90-0,1-May-96,,,,,,,,
Bis(2-chloroethyl)ether,cancer,SQE,111-44-4,1-Apr-88,0.3,,,,,,,
"N,N-Bis(2-chloroethyl)-2-naphthylamine  (Chlornapazine)",cancer,LC,494-03-1,27-Feb-87,,,,,,,,
Bischloroethyl nitrosourea (BCNU) (Carmustine),cancer,SQE,154-93-8,1-Jul-87,,,,,,,,
Bischloroethyl nitrosourea (BCNU) (Carmustine),developmental,FR,154-93-8,1-Jul-90,,,,,,,,
Bis(chloromethyl)ether,cancer,LC,542-88-1,27-Feb-87,0.02,,,,,,,
"Bis(2-chloro-1-methylethyl)ether,  technical grade",cancer ,SQE,---,29-Oct-99,,,,,,,,
Bisphenol A (BPA),female,SQE,80-05-7,11-May-15,3 (dermal exposure from solid materials),,,,,,,
"Bisphenol A (BPA)  Delisted April 19, 2013 [Click here for the basis for delisting]",developmental,AB,80-05-7,11-Apr-13,,,,,,,,
"Bitumens, extracts of steam-refined and air refined",cancer,AB,---,1-Jan-90,,,,,,,,
Bracken fern,cancer,AB,---,1-Jan-90,,,,,,,,
Bromacil lithium salt,developmental ,AB,53404-19-6,18-May-99,,,,,,,,
Bromacil lithium salt,male ,SQE,53404-19-6,17-Jan-03,,,,,,,,
Bromate,cancer ,AB,15541-45-4,31-May-02,,,,,,,,
Bromochloroacetic acid,cancer ,AB,5589-96-8,6-Apr-10,0.7,,,,,,,
Bromodichloroacetic acid,cancer,AB,71133-14-7,29-Jul-16,0.95,,,,,,,
Bromodichloromethane,cancer,AB,75-27-4,1-Jan-90,5,,,,,,,
Bromoethane,cancer,AB,74-96-4,22-Dec-00,96,,,,,,,
Bromoform,cancer,AB,75-25-2,1-Apr-91,64,,,,,,,
1-Bromopropane (1-BP),cancer,AB,106-94-5,5-Aug-16,,,,,,,,
1-Bromopropane (1-BP),"developmental, female, male ",AB,106-94-5,7-Dec-04,,,,,,,,
2-Bromopropane (2-BP),"female, male ",AB,75-26-3,31-May-05,,,,,,,,
Bromoxynil,developmental,FR,1689-84-5,1-Oct-90,,,,,,,,
Bromoxynil octanoate,developmental ,AB,1689-99-2,18-May-99,,,,,,,,
Butabarbital sodium,developmental,FR,143-81-7,1-Oct-92,,,,,,,,
"1,3-Butadiene",cancer,SQE,106-99-0,1-Apr-88,0.4,,,,,,,
"1,3-Butadiene","developmental, female, male ",AB,106-99-0,16-Apr-04,,,,,,,,
"1,4-Butanediol dimethanesulfonate (Busulfan)",cancer,LC,55-98-1,27-Feb-87,,,,,,,,
"1,4-Butanediol dimethanesulfonate (Busulfan)",developmental,SQE,55-98-1,1-Jan-89,,,,,,,,
Butylated hydroxyanisole,cancer,AB,25013-16-5,1-Jan-90,4000,,,,,,,
Butyl benzyl phthalate (BBP)d,developmental ,AB,85-68-7,2-Dec-05,1200 (oral),,,,,,,
"n-Butyl glycidyl ether Delisted April 4, 2014 [Click here for the basis for delisting]",male ,LC,2426-08-6,7-Aug-09,,,,,,,,
beta-Butyrolactone,cancer,SQE,3068-88-0,1-Jul-87,0.7,,,,,,,
,,,,,,,,,,,,
Cacodylic acid,cancer,AB,75-60-5,1-May-96,,,,,,,,
Cadmium,"developmental, male ",SQE,---,1-May-97,4.1 (oral),,,,,,,
Cadmium and cadmium compounds,cancer,SQE,---,1-Oct-87,,,,,,,,
Cadmium,cancer,SQE,---,1-Oct-87,0.05 (inhalation),,,,,,,
Caffeic acid,cancer,AB,331-39-5,1-Oct-94,,,,,,,,
Captafol,cancer,SQE,2425-06-1,1-Oct-88,5,,,,,,,
Captan,cancer,AB,133-06-2,1-Jan-90,300,,,,,,,
Carbamazepine,developmental ,FR,298-46-4,29-Jan-99,,,,,,,,
Carbaryl,cancer ,AB,63-25-2,5-Feb-10,,,,,,,,
"Carbaryl [Basis for listing changed effective December 27, 2013]","developmental, female, male",AB,63-25-2,7-Aug-09,,,,,,,,
Carbazole,cancer,AB,86-74-8,1-May-96,4.1,,,,,,,
"Carbon black (airborne, unbound particles of respirable size)",cancer ,AB,1333-86-4,21-Feb-03,,,,,,,,
Carbon-black extracts,cancer,AB,---,1-Jan-90,,,,,,,,
Carbon disulfide,"developmental, female, male",SQE,75-15-0,1-Jul-89,,,,,,,,
Carbon monoxide,developmental,SQE,630-08-0,1-Jul-89,,,,,,,,
Carbon tetrachloride,cancer,SQE,56-23-5,1-Oct-87,5,,,,,,,
Carboplatin,developmental,FR,41575-94-4,1-Jul-90,,,,,,,,
N-Carboxymethyl-N-nitrosourea,cancer,SQE,60391-92-6,25-Jan-02,0.7,,,,,,,
Catechol,cancer ,AB,120-80-9,15-Jul-03,,,,,,,,
Ceramic fibers (airborne particles of respirable size),cancer,AB,---,1-Jul-90,,,,,,,,
Certain combined chemotherapy for lymphomas,cancer,LC,---,27-Feb-87,,,,,,,,
Chenodiol,developmental,FR,474-25-9,1-Apr-90,,,,,,,,
Chloral,cancer,LC,75-87-6,13-Sep-13,,,,,,,,
Chloral hydrate,cancer,LC,302-17-0,13-Sep-13,,,,,,,,
Chlorambucil,cancer,LC,305-03-3,27-Feb-87,0.002,,,,,,,
Chlorambucil,developmental,SQE,305-03-3,1-Jan-89,,,,,,,,
"Chloramphenicol Delisted January 4, 2013 [Click here for the basis for delisting]",cancer,LC,56-75-7,1-Oct-89,,,,,,,,
Chloramphenicol sodium succinate,cancer,FR,982-57-0,27-Sep-13,,,,,,,,
Chlorcyclizine hydrochloride,developmental,FR,1620-21-9,1-Jul-87,,,,,,,,
Chlordane,cancer,SQE,57-74-9,1-Jul-88,0.5,,,,,,,
Chlordecone (Kepone),cancer,SQE,143-50-0,1-Jan-88,0.04,,,,,,,
Chlordecone (Kepone),developmental,SQE,143-50-0,1-Jan-89,,,,,,,,
Chlordiazepoxide,developmental,FR,58-25-3,1-Jan-92,,,,,,,,
Chlordiazepoxide hydrochloride,developmental,FR,438-41-5,1-Jan-92,,,,,,,,
Chlordimeform,cancer,SQE,6164-98-3,1-Jan-89,,,,,,,,
Chlorendic acid,cancer,SQE,115-28-6,1-Jul-89,8,,,,,,,
"Chlorinated paraffins (Average chain length, C12;approximately 60 percent chlorine by weight)",cancer,SQE,108171-26-2,1-Jul-89,8,,,,,,,
p-Chloroaniline,cancer,AB,106-47-8,1-Oct-94,1.5,,,,,,,
p-Chloroaniline hydrochloride,cancer ,AB,20265-96-7,15-May-98,1.9,,,,,,,
"Chlorodibromomethane  Delisted October 29, 1999 [Click here for the basis for delisting]",cancer,AB,124-48-1,1-Jan-90,,,,,,,,
Chloroethane (Ethyl chloride),cancer,AB,75-00-3,1-Jul-90,150,,,,,,,
1-(2-Chloroethyl)-3-cyclohexyl-1-nitrosourea (CCNU) (Lomustine),cancer,SQE,13010-47-4,1-Jan-88,,,,,,,,
1-(2-Chloroethyl)-3-cyclohexyl-1-nitrosourea (CCNU) (Lomustine),developmental,FR,13010-47-4,1-Jul-90,,,,,,,,
1-(2-Chloroethyl)-3-(4-methylcyclohexyl)-1-nitrosourea (Methyl-CCNU),cancer,SQE,13909-09-6,1-Oct-88,,,,,,,,
Chloroform,cancer,SQE,67-66-3,1-Oct-87,"20 (oral)
40 (inhalation)",,,,,,,
"Chloroform [Basis for listing changed effective December 23, 2016]",developmental ,SQE,67-66-3,7-Aug-09,,,,,,,,
Chloromethyl methyl ether (technical grade),cancer,LC,107-30-2,27-Feb-87,0.3,,,,,,,
3-Chloro-2-methylpropene,cancer,SQE,563-47-3,1-Jul-89,5,,,,,,,
1-Chloro-4-nitrobenzene,cancer,SQE,100-00-5,29-Oct-99,,,,,,,,
2-Chloronitrobenzene,cancer,LC,88-73-3,13-Sep-19,,,,,,,,
4-Chloro-o-phenylenediamine,cancer,SQE,95-83-0,1-Jan-88,40,,,,,,,
Chloroprene,cancer ,AB,126-99-8,2-Jun-00,,,,,,,,
"2-Chloropropionic acid [Basis for listing changed effective December 20, 2013]",male ,SQE,598-78-7,7-Aug-09,,,,,,,,
Chlorothalonil,cancer,SQE,1897-45-6,1-Jan-89,41,,,,,,,
p-Chloro-o-toluidine,cancer,AB,95-69-2,1-Jan-90,3,,,,,,,
"p-Chloro-o-toluidine, strong acid salts of",cancer ,AB,---,15-May-98,,,,,,,,
"   p-Chloro-o-toluidine, hydrochloride",,,,,3.3,,,,,,,
5-Chloro-o-toluidine and its strong acid salts,cancer ,SQE,---,24-Oct-97,,,,,,,,
Chlorotrianisene,cancer,FR,569-57-3,1-Sep-96,,,,,,,,
"p-chloro-?,?,?-trifluorotoluene (para-Chlorobenzotrifluoride, PCBTF)",cancer,AB,---,28-Jun-19,,,,,,,,
Chlorozotocin,cancer,AB,54749-90-5,1-Jan-92,0.003,,,,,,,
Chlorpyrifos,developmental,SQE,2921-88-2,15-Dec-17,,,,,,,,
"Chlorsulfuron Delisted June 6, 2014 [Click here for the basis for delisting] ","developmental, female, male ",AB,64902-72-3,14-May-99,,,,,,,,
Chromium (hexavalent compounds),cancer,LC,---,27-Feb-87,0.001 (inhalation),,,,,,,
Chromium (hexavalent compounds),"developmental, female, male ",SQE, ---,19-Dec-08,8.2 (oral),,,,,,,
Chrysene,cancer,AB,218-01-9,1-Jan-90,0.35 (oral),,,,,,,
C.I. Acid Red 114,cancer,AB,6459-94-5,1-Jul-92,,,,,,,,
C.I. Basic Red 9 monohydrochloride,cancer,SQE,569-61-9,1-Jul-89,3,,,,,,,
C.I. Direct Blue 15,cancer ,AB,2429-74-5,26-Aug-97,,,,,,,,
C.I. Direct Blue 218,cancer ,AB,28407-37-6,26-Aug-97,50,,,,,,,
C.I. Disperse Yellow 3,cancer,SQE,2832-40-8,8-Feb-13,,,,,,,,
C.I. Solvent Yellow 14,cancer ,AB,842-07-9,15-May-98,,,,,,,,
Ciclosporin (Cyclosporin A; Cyclosporine),cancer,AB,59865-13-3; 79217-60-0,1-Jan-92,,,,,,,,
Cidofovir,"cancer, developmental, female, male",FR,113852-37-2,29-Jan-99,,,,,,,,
Cinnamyl anthranilate,cancer,SQE,87-29-6,1-Jul-89,200,,,,,,,
Cisplatin,cancer,SQE,15663-27-1,1-Oct-88,,,,,,,,
Citrus Red No. 2,cancer,LC,6358-53-8,1-Oct-89,,,,,,,,
Cladribine,developmental,FR,4291-63-8,1-Sep-96,,,,,,,,
Clarithromycin,developmental ,FR,81103-11-9,1-May-97,,,,,,,,
Clobetasol propionate,"developmental, female ",FR,25122-46-7,15-May-98,,,,,,,,
Clofibrate,cancer,FR,637-07-0,1-Sep-96,,,,,,,,
Clomiphene citrate,cancer,FR,50-41-9,24-May-13,,,,,,,,
Clomiphene citrate,developmental,FR,50-41-9,1-Apr-90,,,,,,,,
Clorazepate dipotassium,developmental,FR,57109-90-7,1-Oct-92,,,,,,,,
CMNP (pyrazachlor),cancer,AB,6814-58-0,25-Aug-15,,,,,,,,
Cobalt metal powder,cancer,AB,7440-48-4,1-Jul-92,,,,,,,,
Cobalt [II] oxide,cancer,AB,1307-96-6,1-Jul-92,,,,,,,,
Cobalt sulfate,cancer ,LC,10124-43-3,20-May-05,,,,,,,,
Cobalt sulfate heptahydrate,cancer ,AB,10026-24-1,2-Jun-00,,,,,,,,
Cocaine,"developmental, female",SQE,50-36-2,1-Jul-89,,,,,,,,
Coconut oil diethanolamine condensate (cocamide diethanolamine),cancer,LC,---,22-Jun-12,,,,,,,,
Codeine phosphate,developmental ,FR,52-28-8,15-May-98,,,,,,,,
Coke oven emissions,cancer,LC,---,27-Feb-87,0.3,,,,,,,
Colchicine,"developmental, male",FR,64-86-8,1-Oct-92,,,,,,,,
Conjugated estrogens,cancer,LC,---,27-Feb-87,,,,,,,,
Conjugated estrogens,developmental,FR,---,1-Apr-90,,,,,,,,
Creosotes,cancer,SQE,---,1-Oct-88,,,,,,,,
p-Cresidine,cancer,SQE,120-71-8,1-Jan-88,5,,,,,,,
Cumene,cancer ,AB,98-82-8,6-Apr-10,,,,,,,,
Cupferron,cancer,SQE,135-20-6,1-Jan-88,3,,,,,,,
Cyanazine,developmental,FR,21725-46-2,1-Apr-90,,,,,,,,
Cycasin,cancer,SQE,14901-08-7,1-Jan-88,,,,,,,,
Cycloate,developmental ,AB,1134-23-2,19-Mar-99,,,,,,,,
"Cyclohexanol  Delisted January 25, 2002 [Click here for the basis for delisting]",male ,AB,108-93-0,6-Nov-98,,,,,,,,
Cycloheximide,developmental,FR,66-81-9,1-Jan-89,,,,,,,,
Cyclopenta[cd]pyrene,cancer,LC,27208-37-3,29-Apr-11,,,,,,,,
Cyclophosphamide (anhydrous),cancer,LC,50-18-0,27-Feb-87,1,,,,,,,
Cyclophosphamide (anhydrous),"developmental, female, male","SQE - developmental    FR - female, male ",50-18-0,1-Jan-89,,,,,,,,
Cyclophosphamide (hydrated),cancer,LC,6055-19-2,27-Feb-87,1,,,,,,,
Cyclophosphamide (hydrated),"developmental, female, male","SQE - developmental     FR - female, male ",6055-19-2,1-Jan-89,,,,,,,,
Cyhexatin,developmental,FR,13121-70-5,1-Jan-89,,,,,,,,
Cytarabine,developmental,SQE,147-94-4,1-Jan-89,,,,,,,,
Cytembena,cancer ,AB,21739-91-3,15-May-98,,,,,,,,
,,,,,,,,,,,,
D&C Orange No. 17,cancer,AB,3468-63-1,1-Jul-90,,,,,,,,
D&C Red No. 8,cancer,AB,2092-56-0,1-Oct-90,,,,,,,,
D&C Red No. 9,cancer,AB,5160-02-1,1-Jul-90,100,,,,,,,
D&C Red No. 19,cancer,AB,81-88-9,1-Jul-90,,,,,,,,
Dacarbazine,cancer,SQE,4342-03-4,1-Jan-88,0.01,,,,,,,
Dacarbazine,developmental ,FR,4342-03-4,29-Jan-99,,,,,,,,
Daminozide,cancer,AB,1596-84-5,1-Jan-90,40,,,,,,,
Danazol,developmental,FR,17230-88-5,1-Apr-90,,,,,,,,
"Dantron (Chrysazin; 1,8-Dihydroxyanthraquinone)",cancer,AB,117-10-2,1-Jan-92,9,,,,,,,
Daunomycin,cancer,SQE,20830-81-3,1-Jan-88,,,,,,,,
Daunorubicin hydrochloride ,developmental,FR,23541-50-6,1-Jul-90,,,,,,,,
"2,4-D butyric acid [Click here for the basis for the removal of developmental endpoint, effective June 22, 2001]","developmental,   male   ",AB,94-82-6,18-Jun-99,910,,,,,,,
DDD (Dichlorodiphenyl-dichloroethane),cancer,SQE,72-54-8,1-Jan-89,"2 (DDT, DDE, DDD in combination)",,,,,,,
DDE (Dichlorodiphenyl-dichloroethylene),cancer,SQE,72-55-9,1-Jan-89,"2 (DDT, DDE, DDD in combination)",,,,,,,
DDT (Dichlorodiphenyl-trichloroethane),cancer,SQE,50-29-3,1-Oct-87,"2 (DDT, DDE, DDD in combination)",,,,,,,
"o,p'-DDT","developmental, female, male ",AB,789-02-6,15-May-98,,,,,,,,
"p,p'-DDT","developmental, female, male ",AB,50-29-3,15-May-98,,,,,,,,
DDVP (Dichlorvos),cancer,SQE,62-73-7,1-Jan-89,2,,,,,,,
Demeclocycline hydrochloride (internal use),developmental,FR,64-73-3,1-Jan-92,,,,,,,,
Des-ethyl atrazine (DEA),"developmental, female",AB,6190-65-4,15-Jul-16,100 (oral),,,,,,,
Des-isopropyl atrazine (DIA),"developmental, female",AB,1007-28-9,15-Jul-16,100 (oral),,,,,,,
"N,N'-Diacetylbenzidine",cancer,LC,613-35-4,1-Oct-89,,,,,,,,
"2,4-Diaminoanisole",cancer,FR,615-05-4,1-Oct-90,30,,,,,,,
"2,4-Diaminoanisole sulfate",cancer,SQE,39156-41-7,1-Jan-88,50,,,,,,,
