Index|Drug ID|Drug Name|Section LOINC|Section Display Name|MedDRA PT|PT ID|MedDRA LLT|LLT ID|Matching String|UMLS CUI|UMLS PrefName|Flag 1|Flag 2
000011|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Ataxia|10003591|Ataxia|10003591|ataxia|C0004134|Ataxia||
000012|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Blood pressure decreased|10005734|Blood pressure decreased|10005734|blood pressure decreased|C0020649|Hypotension||
000013|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Chronic respiratory disease|10061768|Chronic respiratory disease|10061768|chronic pulmonary disease|C0264220|Chronic disease of respiratory system||
000014|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Confusional state|10010305|Confusional state|10010305|confusional state|C0009676|Confusion||
000015|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Constipation|10010774|Constipation|10010774|constipation|C0009806|Constipation||
000016|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Coordination abnormal|10010947|Coordination abnormal|10010947|coordination abnormal|C0520966|Abnormal coordination||
000017|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Cough|10011224|Cough|10011224|cough|C0010200|Coughing||
000018|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Decreased appetite|10061428|Decreased appetite|10061428|decreased appetite|C0232462|Decrease in appetite||
000019|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Depressed level of consciousness|10012373|Depressed level of consciousness|10012373|depressed level of consciousness|C0549249|Depressed Level of Consciousness||
000020|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Diarrhoea|10012735|Diarrhea|10012727|diarrhea|C0011991|Diarrhea||
000021|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Discomfort|10013082|Sensation of heaviness|10040000|sensation of heaviness|C0581912|Heavy feeling||
000022|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Disorientation|10013395|Disorientation|10013395|disorientation|C0233407|Disorientation||
000023|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Disturbance in attention|10013496|Disturbance in attention|10013496|disturbance in attention|C0233414|Disturbance of attention||
000024|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Dizziness|10013573|Dizziness|10013573|dizziness|C0012833|Dizziness||
000025|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Drug abuse|10013654|Drug abuse|10013654|drug abuse|C0013146|Drug abuse||
000026|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Drug dependence|10013663|Dependence addictive|10012336|addiction|C0085281|Addictive Behavior||
000027|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Drug dependence|10013663|Drug dependence|10013663|drug dependence|C1510472|Drug Dependence||
000028|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Drug withdrawal syndrome|10013754|Drug withdrawal syndrome|10013754|drug withdrawal syndrome|C0152128|Drug withdrawal syndrome||
000029|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Dry mouth|10013781|Dry mouth|10013781|dry mouth|C0043352|Xerostomia||
000030|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Dysarthria|10013887|Dysarthria|10013887|dysarthria|C0013362|Dysarthria||
000031|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Dyspepsia|10013946|Dyspepsia|10013946|dyspepsia|C0013395|Dyspepsia||
000032|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Dyspnoea|10013968|Dyspnea|10013963|dyspnea|C0013404|Dyspnea||
000033|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Euphoric mood|10015535|Euphoric mood|10015535|euphoric mood|C0235146|Euphoric mood||
000034|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Fatigue|10016256|Fatigue|10016256|fatigue|C0015672|Fatigue||
000035|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Feeling drunk|10016330|Feeling drunk|10016330|feeling drunk|C0522172|Feeling intoxicated||
000036|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Feeling hot|10016334|Feeling hot|10016334|feeling hot|C2939147|Feels hot||
000037|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Gamma-glutamyltransferase increased|10017693|Gamma-glutamyltransferase increased|10017693|gamma-glutamyltransferase increased|C0151662|Gamma-glutamyl transferase raised||
000038|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Gastrointestinal disorder|10017944|Gastrointestinal symptom NOS|10018011|gastrointestinal effects|C0426576|Gastrointestinal symptom||
000039|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Hallucination|10019063|Hallucination|10019063|hallucination|C0018524|Hallucinations||
000040|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Headache|10019211|Headache|10019211|headache|C0018681|Headache||
000041|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Heart rate decreased|10019301|Heart rate decreased|10019301|heart rate decreased|C2230138|Pulse slow (finding)||
000042|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Heart rate increased|10019303|Heart rate increased|10019303|heart rate increased|C0039231|Tachycardia||
000043|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Hot flush|10060800|Hot flush|10060800|hot flush|C0600142|Hot flushes||
000044|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Hyperhidrosis|10020642|Hyperhidrosis|10020642|hyperhidrosis|C0020458|Hyperhidrosis disorder||
000045|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Hypersensitivity|10020751|Hypersensitivity|10020751|hypersensitivity|C0020517|Hypersensitivity||
000046|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Hypoaesthesia|10020937|Hypoesthesia|10020976|hypoesthesia|C0020580|Hypesthesia||
000047|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Hypotension|10021097|Hypotensive|10021107|hypotensive effects|C0857353|Hypotensive||
000048|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Impaired gastric emptying|10021518|Impaired gastric emptying|10021518|impaired gastric emptying|C0522063|Impaired gastric emptying||
000049|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Insomnia|10022437|Insomnia|10022437|insomnia|C0917801|Sleeplessness||
000050|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Irritability|10022998|Irritability|10022998|irritability|C0022107|Irritable Mood||
000051|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Lethargy|10024264|Lethargy|10024264|lethargy|C0023380|Lethargy||
000052|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Memory impairment|10027175|Memory impairment|10027175|memory impairment|C0233794|Memory impairment||
000053|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Muscle contractions involuntary|10028293|Muscle contractions involuntary|10028293|involuntary muscle contractions|C0235086|Involuntary muscle contraction||
000054|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Nasopharyngitis|10028810|Nasopharyngitis|10028810|nasopharyngitis|C0027441|Nasopharyngitis||
000055|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Nausea|10028813|Nausea|10028813|nausea|C0027497|Nausea||
000056|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Nervousness|10029216|Nervousness|10029216|nervousness|C0027769|Nervousness||
000057|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Oedema|10030095|Edema|10014210|edema|C0013604|Edema||
000058|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Oxygen saturation decreased|10033318|Oxygen saturation decreased|10033318|oxygen saturation decreased|C0746961|Oxygen saturation below reference range||
000059|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Palpitations|10033557|Palpitations|10033557|palpitations|C0030252|Palpitations||
000060|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Panic attack|10033664|Panic attack|10033664|panic attack|C0086769|Panic Attacks||
000061|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Paraesthesia|10033775|Paresthesia|10033987|paresthesia|C0030554|Paresthesia||
000062|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Pollakiuria|10036018|Pollakiuria|10036018|pollakiuria|C0042023|Increased frequency of micturition||
000063|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Presyncope|10036653|Presyncope|10036653|presyncope|C0700200|Presyncope||
000064|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Pruritus generalised|10052576|Pruritus generalized|10037092|pruritus generalized|C0475858|Generalized pruritus||
000065|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Pruritus|10037087|Pruritus|10037087|pruritus|C0033774|Pruritus||
000066|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Rash|10037844|Rash|10037844|rash|C0015230|Exanthema||
000067|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Respiratory depression|10038678|Respiratory depression|10038678|respiratory depression|C0235063|Respiratory Depression||
000068|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Restlessness|10038743|Restlessness|10038743|restlessness|C3887611|Restlessness||
000069|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Sedation|10039897|Sedation|10039897|sedation|C0235195|Sedated state||
000070|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Seizure|10039906|Seizures|10039910|seizures|C0036572|Seizures||
000071|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Seizure|10039906|Seizure|10039906|seizure|C0036572|Seizures||
000072|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Serotonin syndrome|10040108|Serotonin syndrome|10040108|serotonin syndrome|C0699828|Serotonin Syndrome||
000073|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Somnolence|10041349|Somnolence|10041349|somnolence|C2830004|Somnolence||
000074|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Suicidal ideation|10042458|Suicidal ideation|10042458|suicidal ideation|C0424000|Feeling suicidal (finding)||
000075|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Syncope|10042772|Syncope|10042772|syncope|C0039070|Syncope||
000076|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Thinking abnormal|10043431|Thinking abnormal|10043431|thinking abnormal|C0233632|Disturbance in thinking||
000077|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Tremor|10044565|Tremor|10044565|tremor|C0040822|Tremor||
000078|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Upper respiratory tract infection|10046306|Upper respiratory tract infection|10046306|upper respiratory tract infection|C0041912|Upper Respiratory Infections||
000079|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Urinary hesitation|10046542|Urinary hesitation|10046542|urinary hesitation|C0152032|Urinary hesitation||
000080|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Urinary tract infection|10046571|Urinary tract infection|10046571|urinary tract infection|C0042029|Urinary tract infection||
000081|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Urticaria|10046735|Urticaria|10046735|urticaria|C0042109|Urticaria||
000082|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Visual impairment|10047571|Visual disturbance|10047543|visual disturbance|C0547030|Visual disturbance||
000083|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|34084-4|ADVERSE REACTIONS|Vomiting|10047700|Vomiting|10047700|vomiting|C0042963|Vomiting||
000084|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|43685-7|WARNINGS AND PRECAUTIONS|Apnoea|10002974|Apnea|10002972|apnea|C0003578|Apnea||
000085|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|43685-7|WARNINGS AND PRECAUTIONS|Blood pressure decreased|10005734|Blood pressure decreased|10005734|reduce blood pressure|C0020649|Hypotension||
000086|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|43685-7|WARNINGS AND PRECAUTIONS|Cardiac output decreased|10007595|Cardiac output decreased|10007595|reduce cardiac output|C0007166|Low Cardiac Output||
000087|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|43685-7|WARNINGS AND PRECAUTIONS|Coma|10010071|Coma|10010071|coma|C0009421|Comatose||
000088|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|43685-7|WARNINGS AND PRECAUTIONS|Death|10011906|Death|10011906|death|C1306577|Death (finding)||
000089|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|43685-7|WARNINGS AND PRECAUTIONS|Depressed level of consciousness|10012373|Depression central nervous system|10012383|central nervous system depression|C0151559|Central nervous system depression (disorder)||
000090|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|43685-7|WARNINGS AND PRECAUTIONS|Hypercapnia|10020591|Retention carbon dioxide|10038778|co2retention|C0020440|Hypercapnia||
000091|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|43685-7|WARNINGS AND PRECAUTIONS|Hypopnoea|10021079|Respiration spontaneous decreased|10038657|reduce respiratory drive|C0456035|Poor respiratory drive||
000092|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|43685-7|WARNINGS AND PRECAUTIONS|Hypotension|10021097|Hypotension|10021097|hypotension|C0020649|Hypotension||
000093|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|43685-7|WARNINGS AND PRECAUTIONS|Hypotension|10021097|Hypotensive|10021107|hypotensive effect|C0857353|Hypotensive||
000094|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|43685-7|WARNINGS AND PRECAUTIONS|Impaired driving ability|10049564|Impaired driving ability|10049564|impair driving a car|C0684311|impaired driving||
000095|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|43685-7|WARNINGS AND PRECAUTIONS|Impaired work ability|10052302|Impaired work ability|10052302|impair operating machinery|C0948361|Impaired work ability||
000096|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|43685-7|WARNINGS AND PRECAUTIONS|Intracranial pressure increased|10022773|Intracranial pressure increased|10022773|increase intracranial pressure|C0151740|Intracranial Hypertension||
000097|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|43685-7|WARNINGS AND PRECAUTIONS|Mental disability|10027353|Mental disability|10027353|impair mental abilities|C1306341|Mental handicap||
000098|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|43685-7|WARNINGS AND PRECAUTIONS|Obstructive airways disorder|10061877|Airway resistance increased|10001537|increased airway resistance|C0860511|Airway resistance increased||
000099|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|43685-7|WARNINGS AND PRECAUTIONS|Overdose|10033295|Overdose|10033295|overdose|C0029944|Drug Overdose||
000100|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|43685-7|WARNINGS AND PRECAUTIONS|Physical disability|10048624|Physical impairment|10076322|impaired physical abilities|C0231171|Physical impairment||
000101|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|43685-7|WARNINGS AND PRECAUTIONS|Respiratory depression|10038678|Respiratory depression|10038678|respiratory depression|C0235063|Respiratory Depression||
000102|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|43685-7|WARNINGS AND PRECAUTIONS|Sedation|10039897|Sedation excessive|10039898|profound sedation|C0235194|Tranquillisation excessive||
000103|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|43685-7|WARNINGS AND PRECAUTIONS|Seizure|10039906|Convulsions aggravated|10010915|aggravate convulsions|C0234975|Convulsions aggravated||
000104|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|43685-7|WARNINGS AND PRECAUTIONS|Seizure|10039906|Seizures|10039910|seizures|C0036572|Seizures||
000105|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|43685-7|WARNINGS AND PRECAUTIONS|Serotonin syndrome|10040108|Serotonin syndrome|10040108|serotonin syndrome|C0699828|Serotonin Syndrome||
000106|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|43685-7|WARNINGS AND PRECAUTIONS|Vasodilatation|10047141|Vasodilatation|10047141|vasodilation|C0595862|Vasodilation disorder||
000107|00a8921e-46a6-4df1-a744-9e532b6fb06f|NUCYNTA|43685-7|WARNINGS AND PRECAUTIONS|||||decreased respiratory drive|C0456035|Poor respiratory drive|unmapped|
000108|02c91fba-9c47-43ef-ac78-e82369798834|Natazia|34066-1|BOXED WARNINGS|Cardiovascular symptom|10075534|Cardiovascular symptom|10075534|cardiovascular events|C1320716|Cardiovascular event||DrugClass
000109|02c91fba-9c47-43ef-ac78-e82369798834|Natazia|34084-4|ADVERSE REACTIONS|Abdominal pain|10000081|Abdominal pain|10000081|abdominal pain|C0000737|Abdominal Pain||
000110|02c91fba-9c47-43ef-ac78-e82369798834|Natazia|34084-4|ADVERSE REACTIONS|Abnormal withdrawal bleeding|10069195|Abnormal withdrawal bleeding|10069195|abnormal withdrawal bleeding|C2609183|Abnormal withdrawal bleeding||
000111|02c91fba-9c47-43ef-ac78-e82369798834|Natazia|34084-4|ADVERSE REACTIONS|Acne|10000496|Acne|10000496|acne|C0702166|Acne||
000112|02c91fba-9c47-43ef-ac78-e82369798834|Natazia|34084-4|ADVERSE REACTIONS|Affect lability|10054196|Affect lability|10054196|affect lability|C0233472|Labile affect||
000113|02c91fba-9c47-43ef-ac78-e82369798834|Natazia|34084-4|ADVERSE REACTIONS|Angioedema|10002424|Angioedema|10002424|angioedema|C0002994|Angioedema||
000114|02c91fba-9c47-43ef-ac78-e82369798834|Natazia|34084-4|ADVERSE REACTIONS|Angiopathy|10059245|Vascular disorder|10047059|vascular events|C0042373|Vascular Diseases||
000115|02c91fba-9c47-43ef-ac78-e82369798834|Natazia|34084-4|ADVERSE REACTIONS|Breast discomfort|10049872|Breast discomfort|10049872|breast discomfort|C0877338|Breast discomfort||
000116|02c91fba-9c47-43ef-ac78-e82369798834|Natazia|34084-4|ADVERSE REACTIONS|Breast pain|10006298|Breast pain|10006298|breast pain|C0024902|Mastodynia||
000117|02c91fba-9c47-43ef-ac78-e82369798834|Natazia|34084-4|ADVERSE REACTIONS|Breast tenderness|10006313|Breast tenderness|10006313|breast tenderness|C0262397|Breast tenderness||
000118|02c91fba-9c47-43ef-ac78-e82369798834|Natazia|34084-4|ADVERSE REACTIONS|Cardiovascular symptom|10075534|Cardiovascular symptom|10075534|cardiovascular events|C1320716|Cardiovascular event||
000119|02c91fba-9c47-43ef-ac78-e82369798834|Natazia|34084-4|ADVERSE REACTIONS|Cerebral thrombosis|10008132|Cerebral thrombosis|10008132|cerebral thrombosis|C0079102|Cerebral Thrombosis||
000120|02c91fba-9c47-43ef-ac78-e82369798834|Natazia|34084-4|ADVERSE REACTIONS|Cerebrovascular accident|10008190|Stroke|10042244|stroke|C0038454|Cerebrovascular accident||
000121|02c91fba-9c47-43ef-ac78-e82369798834|Natazia|34084-4|ADVERSE REACTIONS|Chloasma|10008570|Chloasma|10008570|chloasma|C0025218|Chloasma||
000122|02c91fba-9c47-43ef-ac78-e82369798834|Natazia|34084-4|ADVERSE REACTIONS|Cholecystitis acute|10008614|Acute cholecystitis|10000691|acute cholecystitis|C0149520|Acute Cholecystitis||
000123|02c91fba-9c47-43ef-ac78-e82369798834|Natazia|34084-4|ADVERSE REACTIONS|Cholecystitis|10008612|Acalculous cholecystitis|10000347|chronic acalculous cholecystitis|C3272619|Chronic Acalculous Cholecystitis||
000124|02c91fba-9c47-43ef-ac78-e82369798834|Natazia|34084-4|ADVERSE REACTIONS|Crying|10011469|Crying abnormal|10011470|crying|C0235939|Crying abnormal||
000125|02c91fba-9c47-43ef-ac78-e82369798834|Natazia|34084-4|ADVERSE REACTIONS|Deep vein thrombosis|10051055|Deep vein thrombosis|10051055|deep vein thrombosis|C0149871|Deep Vein Thrombosis||
000126|02c91fba-9c47-43ef-ac78-e82369798834|Natazia|34084-4|ADVERSE REACTIONS|Depressed mood|10012374|Depressed mood|10012374|depressed mood|C0344315|Depressed mood||
000127|02c91fba-9c47-43ef-ac78-e82369798834|Natazia|34084-4|ADVERSE REACTIONS|Depression|10012378|Depression|10012378|depression|C0011570|Mental Depression||
000128|02c91fba-9c47-43ef-ac78-e82369798834|Natazia|34084-4|ADVERSE REACTIONS|Dizziness|10013573|Dizziness|10013573|dizziness|C0012833|Dizziness||
000129|02c91fba-9c47-43ef-ac78-e82369798834|Natazia|34084-4|ADVERSE REACTIONS|Dysfunctional uterine bleeding|10013908|Dysfunctional uterine bleeding|10013908|dysfunctional uterine bleeding|C0025874|Metrorrhagia||
000130|02c91fba-9c47-43ef-ac78-e82369798834|Natazia|34084-4|ADVERSE REACTIONS|Dysthymic disorder|10013982|Dysthymic disorder|10013982|dysthymic disorder|C0013415|Dysthymic Disorder||
000131|02c91fba-9c47-43ef-ac78-e82369798834|Natazia|34084-4|ADVERSE REACTIONS|Embolism arterial|10014513|Arterial thromboembolism|10073529|arterial thromboembolic events|C3544094|Arterial thromboembolism||
000132|02c91fba-9c47-43ef-ac78-e82369798834|Natazia|34084-4|ADVERSE REACTIONS|Embolism venous|10014522|Venous thromboembolism|10066899|venous thromboembolic events|C1861172|Venous Thromboembolism||
000133|02c91fba-9c47-43ef-ac78-e82369798834|Natazia|34084-4|ADVERSE REACTIONS|Erythema multiforme|10015218|Erythema multiforme|10015218|erythema multiforme|C0014742|Erythema Multiforme||
000134|02c91fba-9c47-43ef-ac78-e82369798834|Natazia|34084-4|ADVERSE REACTIONS|Erythema nodosum|10015226|Erythema nodosum|10015226|erythema nodosum|C0014743|Erythema Nodosum||
000135|02c91fba-9c47-43ef-ac78-e82369798834|Natazia|34084-4|ADVERSE REACTIONS|Fluid retention|10016807|Fluid retention|10016807|fluid retention|C0268000|Body fluid retention||
000136|02c91fba-9c47-43ef-ac78-e82369798834|Natazia|34084-4|ADVERSE REACTIONS|Focal nodular hyperplasia|10052285|Hepatic nodular hyperplasia|10058959|focal nodular hyperplasia of the liver|C0700636|Focal nodular hyperplasia of liver||
