	raw_drug_name	source_name	drug_UMLS_CUI	drug_ChEBI_ID	drug_cas#	predicate_raw	predicate_aggregate	predicate_string	indication_raw_string	umls_phen_cui	umls_phen_PT	drug_cas_wdid	drug_chebi_wdid	drug_cui_wdid	phen_cui_wdid
2067	cefpodoxime proxetil	NDFRT	C0108938	3505.0	87239-81-4	may_treat			Escherichia coli Infections	C0014836	Escherichia Coli Infections	Q1052672	Q1052672	Q1052672	Q18975220
2068	cefpodoxime proxetil	NDFRT	C0108938	3505.0	87239-81-4	may_treat			Gonorrhea	C0018081	Gonorrhea	Q1052672	Q1052672	Q1052672	Q101896
2071	cefpodoxime proxetil	NDFRT	C0108938	3505.0	87239-81-4	may_treat			Otitis Media	C0029882	Otitis Media	Q1052672	Q1052672	Q1052672	Q223254
2073	cefpodoxime proxetil	NDFRT	C0108938	3505.0	87239-81-4	may_treat			Pneumonia, Bacterial	C0004626	Pneumonia, Bacterial	Q1052672	Q1052672	Q1052672	Q3776920
2077	cefpodoxime proxetil	NDFRT	C0108938	3505.0	87239-81-4	may_treat			Streptococcal Infections	C0038395	Streptococcal Infections	Q1052672	Q1052672	Q1052672	Q11564537
2078	cefpodoxime proxetil	NDFRT	C0108938	3505.0	87239-81-4	may_treat			Tonsillitis	C0040425	Tonsillitis	Q1052672	Q1052672	Q1052672	Q186470
2079	cefpodoxime proxetil	NDFRT	C0108938	3505.0	87239-81-4	may_treat			Urinary Tract Infections	C0042029	Urinary Tract Infection	Q1052672	Q1052672	Q1052672	Q55779861
2155	CHROMIUM PICOLINATE	NDFRT	C0163657	50369.0	14639-25-9	may_treat			Diabetes Mellitus	C0011849	Diabetes Mellitus	Q2329715	Q2329715	Q2329715	Q12206
2518	EDETATE TRISODIUM	NDFRT	C0357217	63125.0	150-38-9	may_treat			Manganese Poisoning	C0677050	Manganese Poisoning	Q27132403	Q27132403	Q27132403	Q2480013
2583	Erythrityl Tetranitrate	NDFRT	C0014758	60072.0	7297-25-8	may_treat			Angina Pectoris	C0002962	Angina Pectoris	Q417174	Q417174	Q417174	Q180762
2615	Ethinyl Estradiol	NDFRT	C0015011	4903.0	57-63-6	may_treat			Hypogonadism	C0020619	Hypogonadism	Q415563	Q415563	Q415563	Q938107
2617	Ethinyl Estradiol	NDFRT	C0015011	4903.0	57-63-6	may_treat			Menorrhagia	C0025323	Menorrhagia	Q415563	Q415563	Q415563	Q1494682
2619	Ethinyl Estradiol	NDFRT	C0015011	4903.0	57-63-6	may_treat			Ovarian Failure, Premature	C0085215	Ovarian Failure, Premature	Q415563	Q415563	Q415563	Q647630
2640	Ethynodiol Diacetate	NDFRT	C0015117	31580.0	297-76-7	may_treat			Endometriosis	C0014175	Endometriosis	Q5405160	Q5405160	Q5405160	Q205764
2641	Ethynodiol Diacetate	NDFRT	C0015117	31580.0	297-76-7	may_treat			Hypogonadism	C0020619	Hypogonadism	Q5405160	Q5405160	Q5405160	Q938107
2782	gabapentin enacarbil	USAN_TC	C2700226	68840.0	478296-72-9	treatment			treatment of neuropathic pain and restless legs syndrome	C0035258	Restless Legs Syndrome	Q5515257	Q5515257	Q5515257	Q916280
2855	guanethidine monosulfate	DailyMed	C0282190	51016.0	645-43-2	treatment		121	INDICATIONS AND USAGE Ismelin is indicated for the treatment of moderate and severe hypertension, either alone or as an adjunct, and for the treatment of renal hypertension, including that secondary to pyelonephritis, renal amyloidosis, and renal artery stenosis,	C0034186	Pyelonephritis	Q27122277	Q27122277	Q27122277	Q506652
2857	guanethidine monosulfate	DailyMed	C0282190	51016.0	645-43-2	treatment		121	INDICATIONS AND USAGE Ismelin is indicated for the treatment of moderate and severe hypertension, either alone or as an adjunct, and for the treatment of renal hypertension, including that secondary to pyelonephritis, renal amyloidosis, and renal artery stenosis,	C0020544	Renal Hypertension	Q27122277	Q27122277	Q27122277	Q18553923
2951	IMATINIB MESYLATE	NDFRT	C0939537	31690.0	220127-57-1	may_treat			Gastrointestinal Neoplasms	C0017185	Gastrointestinal Neoplasms	Q27114666	Q27114666	Q27114666	Q5526839
2972	ingenol mebutate	USAN_TC	C2825682	66913.0	75567-37-2	treatment			treatment of actinic keratosis and superficial basal cell carcinoma	C0022602	Actinic Keratosis	Q426386	Q426386	Q426386	Q422225
3002	Potassium Iodide	NDFRT	C0032831	8346.0	7681-11-0	may_treat			Cough	C0010200	Coughing	Q121874	Q121874	Q121874	Q35805
3004	Potassium Iodide	NDFRT	C0032831	8346.0	7681-11-0	may_treat			Poisoning	C0032343	Poisoning	Q121874	Q121874	Q121874	Q114953
3006	Potassium Iodide	NDFRT	C0032831	8346.0	7681-11-0	may_treat			Sporotrichosis	C0038034	Sporotrichosis	Q121874	Q121874	Q121874	Q767327
3007	Potassium Iodide	NDFRT	C0032831	8346.0	7681-11-0	may_treat			Staphylococcal Infections	C0038160	Staphylococcal Infections	Q121874	Q121874	Q121874	Q34879
3009	Potassium Iodide	NDFRT	C0032831	8346.0	7681-11-0	may_treat			Thyrotoxicosis	C0040156	Thyrotoxicosis	Q121874	Q121874	Q121874	Q3991731
3011	Sodium Iodide	NDFRT	C0037521	33167.0	7681-82-5	may_prevent&treat			Deficiency Diseases	C0011156	Deficiency Diseases	Q390305	Q390305	Q390305	Q1890194
3012	Sodium Iodide	NDFRT	C0037521	33167.0	7681-82-5	may_treat			Hyperthyroidism	C0020550	Hyperthyroidism	Q390305	Q390305	Q390305	Q16499
3076	Ketorolac Tromethamine	NDFRT	C0064326	6130.0	74103-07-4	may_treat			Conjunctivitis, Allergic	C0009766	Allergic Conjunctivitis	Q27107089	Q27107089	Q27107089	Q471521
3077	Ketorolac Tromethamine	NDFRT	C0064326	6130.0	74103-07-4	may_treat			Inflammation	C0021368	Inflammation	Q27107089	Q27107089	Q27107089	Q101991
3078	Ketorolac Tromethamine	NDFRT	C0064326	6130.0	74103-07-4	may_treat			Pain	C0030193	Pain	Q27107089	Q27107089	Q27107089	Q81938
3079	Ketorolac Tromethamine	NDFRT	C0064326	6130.0	74103-07-4	may_treat			Photophobia	C0085636	Photophobia	Q27107089	Q27107089	Q27107089	Q281289
3087	Sodium Lactate	NDFRT	C0142874	75228.0	72-17-3	may_treat			Acidosis	C0001122	Acidosis	Q418235	Q418235	Q418235	Q185089
3170	lurasidone hydrochloride	USAN_TC	C2697950	70732.0	367514-88-3	treatment			treatment of schizophrenia (high-affinity agonist of serotonin 5-HT1A, 5-HT2, and 5-HT7 receptors as well as dopamine D2 receptors)	C0036341	Schizophrenia	Q27882070	Q27882070	Q27882070	Q41112
3428	Uracil Mustard	NDFRT	C0041920	9884.0	66-75-1	may_treat			Leukemia, Lymphocytic, Chronic	C0023434	Chronic Lymphocytic Leukemia	Q15211075	Q15211075	Q15211075	Q1088156
3430	Uracil Mustard	NDFRT	C0041920	9884.0	66-75-1	may_treat			Mycosis Fungoides	C0026948	Mycosis Fungoides	Q15211075	Q15211075	Q15211075	Q1891209
3432	Uracil Mustard	NDFRT	C0041920	9884.0	66-75-1	may_treat			Polycythemia Vera	C0032463	Polycythemia Vera	Q15211075	Q15211075	Q15211075	Q948318
3433	Uracil Mustard	NDFRT	C0041920	9884.0	66-75-1	may_treat			Thrombocytosis	C0836924	Thrombocytosis	Q15211075	Q15211075	Q15211075	Q1542410
3440	mycophenolate mofetil	NDFRT	C0209368	8764.0	128794-94-5	may_treat			Psoriasis	C0033860	Psoriasis	Q4567614	Q4567614	Q4567614	Q179945
3457	Nandrolone decanoate	DrugBank	C0068395	7467.0	360-70-3	treatment		227	For the treatment of refractory deficient red cell production anemias, breast carcinoma, hereditary angioedema, antithrombin III deficiency, fibrinogen excess, growth failure and Turner's syndrome, It is also indicated in the prophylaxis of hereditary angioedema.	C0272375	Antithrombin Iii Deficiency	Q16634231	Q16634231	Q16634231	Q3704732
3458	Nandrolone decanoate	DrugBank	C0068395	7467.0	360-70-3	treatment		227	For the treatment of refractory deficient red cell production anemias, breast carcinoma, hereditary angioedema, antithrombin III deficiency, fibrinogen excess, growth failure and Turner's syndrome, It is also indicated in the prophylaxis of hereditary angioedema.	C0678222	Breast Carcinoma	Q16634231	Q16634231	Q16634231	Q18555947
3671	Pentaerythritol Tetranitrate	NDFRT	C0030858	25879.0	78-11-5	may_treat			Angina Pectoris	C0002962	Angina Pectoris	Q189334	Q189334	Q189334	Q180762
3698	CARBAMIDE PEROXIDE	NDFRT	C0108342	75178.0	124-43-6	may_treat			Gingivitis	C0017574	Gingivitis	Q2633879	Q2633879	Q2633879	Q673083
3700	CARBAMIDE PEROXIDE	NDFRT	C0108342	75178.0	124-43-6	may_treat			Hyperkeratosis, Epidermolytic	C0079153	Hyperkeratosis, Epidermolytic	Q2633879	Q2633879	Q2633879	Q3801491
3701	CARBAMIDE PEROXIDE	NDFRT	C0108342	75178.0	124-43-6	may_treat			Intracranial Hypertension	C0151740	Intracranial Hypertension	Q2633879	Q2633879	Q2633879	Q18558125
3702	CARBAMIDE PEROXIDE	NDFRT	C0108342	75178.0	124-43-6	may_treat			Periodontitis	C0031099	Periodontitis	Q2633879	Q2633879	Q2633879	Q520127
3703	CARBAMIDE PEROXIDE	NDFRT	C0108342	75178.0	124-43-6	may_treat			Stomatitis	C0038362	Stomatitis	Q2633879	Q2633879	Q2633879	Q911386
3798	Potassium Acetate	NDFRT	C0137984	32029.0	127-08-2	may_prevent&treat			Hypokalemia	C0020621	Hypokalemia	Q409199	Q409199	Q409199	Q794086
3802	Potassium Chloride	NDFRT	C0032825	32588.0	7447-40-7	may_prevent&treat			Hypokalemia	C0020621	Hypokalemia	Q184630	Q184630	Q184630	Q794086
3887	Pyridoxal Phosphate	NDFRT	C0034266	18405.0	54-47-7	may_treat			Seizures	C0036572	Seizures	Q418957	Q418957	Q418957	Q852376
3939	rilpivirine hydrochloride	USAN_TC	C3154850	68602.0	700361-47-3	treatment			treatment of HIV infection	C0019693	Hiv Infections	Q27137040	Q27137040	Q27137040	Q18556697
3977	Salicylic Acid	NDFRT	C0036079	16914.0	69-72-7	may_treat			Dermatitis, Seborrheic	C0036508	Seborrheic Dermatitis	Q193572	Q193572	Q193572	Q448310
3978	Salicylic Acid	NDFRT	C0036079	16914.0	69-72-7	may_treat			Psoriasis	C0033860	Psoriasis	Q193572	Q193572	Q193572	Q179945
3979	Salicylic Acid	NDFRT	C0036079	16914.0	69-72-7	may_treat			Scalp Dermatoses	C0036271	Scalp Dermatoses	Q193572	Q193572	Q193572	Q18555302
4004	PHENYL SALICYLATE	NDFRT	C0073999	34918.0	118-55-8	may_prevent&treat			Pain	C0030193	Pain	Q421259	Q421259	Q421259	Q81938
4083	Sodium Chloride	NDFRT	C0037494	26710.0	7647-14-5	may_treat			Corneal Edema	C0010037	Corneal Edema	Q2314	Q2314	Q2314	Q18553993
4084	Sodium Chloride	NDFRT	C0037494	26710.0	7647-14-5	may_prevent&treat			Dehydration	C0011175	Dehydration	Q2314	Q2314	Q2314	Q194290
4085	Sodium Chloride	NDFRT	C0037494	26710.0	7647-14-5	may_treat			Dry Eye Syndromes	C0013238	Dry Eye Syndromes	Q2314	Q2314	Q2314	Q18553790
4086	Sodium Chloride	NDFRT	C0037494	26710.0	7647-14-5	may_treat			Hyponatremia	C0020625	Hyponatremia	Q2314	Q2314	Q2314	Q824292
4087	Sodium Chloride	NDFRT	C0037494	26710.0	7647-14-5	may_treat			Shock, Hemorrhagic	C0036982	Shock, Hemorrhagic	Q2314	Q2314	Q2314	Q2964243
4114	sulfacetamide sodium	DailyMed	C0282356	63858.0	6209-17-2	treatment		143	INDICATIONS AND USAGE For the treatment of conjunctivitis and other superficial ocular infections due to susceptible microorganisms and as an adjunctive in systemic sulfonamide therapy of trachoma: Escherichia coli, Staphylococcus aureus, Streptococcus pneumoniae, Streptococcus (viridans group), Haemophilus influenzae, Klebsiella species, and Enterobacter species,	C0009763	Conjunctivitis	Q27132864	Q27132864	Q27132864	Q167844
4231	timolol maleate	DailyMed	C0087093	9600.0	26921-17-5	treatment		454	INDICATIONS AND USAGE Hypertension BLOCADREN is indicated for the treatment of hypertension, It may be used alone or in combination with other antihypertensive agents, especially thiazide-type diuretics, Myocardial Infarction BLOCADREN is indicated in patients who have survived the acute phase of myocardial infarction, and are clinically stable, to reduce cardiovascular mortality and the risk of reinfarction, Migraine BLOCADREN is indicated for the prophylaxis of migraine headache,	C0020538	Hypertensive Disease	Q27108445	Q27108445	Q27108445	Q41861
4244	tirofiban hydrochloride	USAN_TC	C0795668	9606.0	150915-40-5	treatment			treatment of unstable angina	C0002965	Angina, Unstable	Q27108448	Q27108448	Q27108448	Q2032041
4401	zinc chloride	NDFRT	C0078774	49976.0	7646-85-7	may_treat			Common Cold	C0009443	Common Cold	Q204714	Q204714	Q204714	Q12125
4402	zinc chloride	NDFRT	C0078774	49976.0	7646-85-7	may_treat			Skin Ulcer	C0037299	Skin Ulcer	Q204714	Q204714	Q204714	Q6452285
4422	PYRITHIONE ZINC	NDFRT	C0078792	32076.0	13463-41-7	may_treat			Dermatitis, Seborrheic	C0036508	Seborrheic Dermatitis	Q204602	Q204602	Q204602	Q448310
4423	PYRITHIONE ZINC	NDFRT	C0078792	32076.0	13463-41-7	may_treat			Scalp Dermatoses	C0036271	Scalp Dermatoses	Q204602	Q204602	Q204602	Q18555302
4648	coenzyme Q10	NDFRT	C0056077	46245.0	303-98-0	may_treat			Angina Pectoris	C0002962	Angina Pectoris	Q321285	Q321285	Q321285	Q180762
4650	coenzyme Q10	NDFRT	C0056077	46245.0	303-98-0	may_treat			Fatigue Syndrome, Chronic	C0015674	Chronic Fatigue Syndrome	Q321285	Q321285	Q321285	Q209733
4652	coenzyme Q10	NDFRT	C0056077	46245.0	303-98-0	may_treat			Huntington Disease	C0020179	Huntington Disease	Q321285	Q321285	Q321285	Q190564
4654	coenzyme Q10	NDFRT	C0056077	46245.0	303-98-0	may_treat			Hypertension	C0020538	Hypertensive Disease	Q321285	Q321285	Q321285	Q41861
4739	Nitric Oxide	NDFRT	C0028128	16480.0	10102-43-9	may_treat			Respiratory Distress Syndrome, Newborn	C0035220	Respiratory Distress Syndrome, Newborn	Q207843	Q207843	Q207843	Q47519106
4746	Nitrous Oxide	NDFRT	C0028215	17045.0	10024-97-2	may_treat			Respiratory Distress Syndrome, Adult	C0035222	Respiratory Distress Syndrome, Adult	Q905750	Q905750	Q905750	Q344873
5472	Ethyl Chloride	NDFRT	C0015058	47554.0	75-00-3	may_treat			Pain	C0030193	Pain	Q409133	Q409133	Q409133	Q81938
5576	Piperonyl Butoxide	NDFRT	C0031962	32687.0	51-03-6	may_treat			Lice Infestations	C0030756	Lice Infestations	Q420891	Q420891	Q420891	Q1343674
5577	Piperonyl Butoxide	NDFRT	C0031962	32687.0	51-03-6	may_treat			Scabies	C0036262	Scabies	Q420891	Q420891	Q420891	Q167178
5637	Acebutolol	NDFRT	C0000946	2379.0	37517-30-9	may_treat			Angina Pectoris	C0002962	Angina Pectoris	Q418857	Q418857	Q418857	Q180762
5638	Acebutolol	NDFRT	C0000946	2379.0	37517-30-9	may_treat			Hypertension	C0020538	Hypertensive Disease	Q418857	Q418857	Q418857	Q41861
5639	Acebutolol	NDFRT	C0000946	2379.0	37517-30-9	may_treat			Myocardial Infarction	C0027051	Myocardial Infarction	Q418857	Q418857	Q418857	Q12152
5640	Acebutolol	NDFRT	C0000946	2379.0	37517-30-9	may_treat			Tachycardia, Ventricular	C0042514	Tachycardia, Ventricular	Q418857	Q418857	Q418857	Q56002
5641	Acebutolol	NDFRT	C0000946	2379.0	37517-30-9	may_treat			Ventricular Fibrillation	C0042510	Ventricular Fibrillation	Q418857	Q418857	Q418857	Q848662
5680	Acetaminophen	NDFRT	C0000970	46195.0	103-90-2	may_treat			Fever	C0015967	Fever	Q57055	Q57055	Q57055	Q38933
5681	Acetaminophen	NDFRT	C0000970	46195.0	103-90-2	may_treat			Pain	C0030193	Pain	Q57055	Q57055	Q57055	Q81938
5694	Acetazolamide	NDFRT	C0000981	27690.0	59-66-5	may_treat			Altitude Sickness	C0002351	Altitude Sickness	Q413690	Q413690	Q413690	Q624497
5695	Acetazolamide	NDFRT	C0000981	27690.0	59-66-5	may_treat			Glaucoma	C0017601	Glaucoma	Q413690	Q413690	Q413690	Q159701
5696	Acetazolamide	NDFRT	C0000981	27690.0	59-66-5	may_treat			Seizures	C0036572	Seizures	Q413690	Q413690	Q413690	Q852376
5703	ACETOPHENAZINE	NDFRT	C0050458	2401.0	2751-68-0	may_treat			Psychotic Disorders	C0033975	Psychotic Disorders	Q4673284	Q4673284	Q4673284	Q170082
5704	ACETOPHENAZINE	NDFRT	C0050458	2401.0	2751-68-0	may_treat			Schizophrenia	C0036341	Schizophrenia	Q4673284	Q4673284	Q4673284	Q41112
5727	Acetylcysteine	NDFRT	C0001047	28939.0	616-91-1	may_treat			Amyloidosis	C0002726	Amyloidosis	Q375613	Q375613	Q375613	Q816798
5728	Acetylcysteine	NDFRT	C0001047	28939.0	616-91-1	may_treat			Bronchiectasis	C0006267	Bronchiectasis	Q375613	Q375613	Q375613	Q32778
5730	Acetylcysteine	NDFRT	C0001047	28939.0	616-91-1	may_treat			Cystic Fibrosis	C0010674	Cystic Fibrosis	Q375613	Q375613	Q375613	Q178194
5733	Acetylcysteine	NDFRT	C0001047	28939.0	616-91-1	may_treat			Pneumonia	C0032285	Pneumonia	Q375613	Q375613	Q375613	Q12192
5735	Acetylcysteine	NDFRT	C0001047	28939.0	616-91-1	may_treat			Pulmonary Emphysema	C0034067	Pulmonary Emphysema	Q375613	Q375613	Q375613	Q188605
5736	Acetylcysteine	NDFRT	C0001047	28939.0	616-91-1	may_treat			Respiratory Distress Syndrome, Adult	C0035222	Respiratory Distress Syndrome, Adult	Q375613	Q375613	Q375613	Q344873
5801	Acyclovir	NDFRT	C0001367	2453.0	59277-89-3	may_prevent&treat			Chickenpox	C0008049	Chickenpox	Q147101	Q147101	Q147101	Q44727
5835	Adenosine	NDFRT	C0001443	16335.0	58-61-7	may_treat			Tachycardia, Paroxysmal	C0039236	Tachycardia, Paroxysmal	Q190012	Q190012	Q190012	Q3980025
5931	Albendazole	NDFRT	C0001911	16664.0	54965-21-8	may_treat			Ancylostomiasis	C0002831	Ancylostomiasis	Q411629	Q411629	Q411629	Q11679861
5932	Albendazole	NDFRT	C0001911	16664.0	54965-21-8	may_treat			Clonorchiasis	C0009021	Clonorchiasis	Q411629	Q411629	Q411629	Q1102300
5933	Albendazole	NDFRT	C0001911	16664.0	54965-21-8	may_treat			Echinococcosis	C0013502	Echinococcosis	Q411629	Q411629	Q411629	Q777087
5935	Albendazole	NDFRT	C0001911	16664.0	54965-21-8	may_treat			Giardiasis	C0017536	Giardiasis	Q411629	Q411629	Q411629	Q326071
5936	Albendazole	NDFRT	C0001911	16664.0	54965-21-8	may_treat			Hymenolepiasis	C0020413	Hymenolepiasis	Q411629	Q411629	Q411629	Q12656487
5937	Albendazole	NDFRT	C0001911	16664.0	54965-21-8	may_treat			Necatoriasis	C0027528	Necatoriasis	Q411629	Q411629	Q411629	Q4118581
5938	Albendazole	NDFRT	C0001911	16664.0	54965-21-8	may_treat			Neurocysticercosis	C0338437	Neurocysticercosis	Q411629	Q411629	Q411629	Q11695458
5939	Albendazole	NDFRT	C0001911	16664.0	54965-21-8	may_treat			Opisthorchiasis	C0029106	Opisthorchiasis	Q411629	Q411629	Q411629	Q1048084
5959	Albuterol	NDFRT	C0001927	2549.0	18559-94-9	may_treat			Asthma	C0004096	Asthma	Q410358	Q410358	Q410358	Q35869
5972	ALCLOMETASONE	NDFRT	C0360534	53776.0	67452-97-5	may_treat			Dermatitis	C0011603	Dermatitis	Q4713192	Q4713192	Q4713192	Q229256
5973	ALCLOMETASONE	NDFRT	C0360534	53776.0	67452-97-5	may_treat			Facial Dermatoses	C0015456	Facial Dermatoses	Q4713192	Q4713192	Q4713192	Q18555301
5975	ALCLOMETASONE	NDFRT	C0360534	53776.0	67452-97-5	may_treat			Hand Dermatoses	C0018567	Hand Dermatoses	Q4713192	Q4713192	Q4713192	Q18555313
5976	ALCLOMETASONE	NDFRT	C0360534	53776.0	67452-97-5	may_treat			Inflammation	C0021368	Inflammation	Q4713192	Q4713192	Q4713192	Q101991
5977	ALCLOMETASONE	NDFRT	C0360534	53776.0	67452-97-5	may_treat			Leg Dermatoses	C0023219	Leg Dermatoses	Q4713192	Q4713192	Q4713192	Q18555307
5978	ALCLOMETASONE	NDFRT	C0360534	53776.0	67452-97-5	may_treat			Scalp Dermatoses	C0036271	Scalp Dermatoses	Q4713192	Q4713192	Q4713192	Q18555302
6045	aliskiren	USAN_TC	C1120110	601027.0	173334-57-1	treatment			treatment of essential hypertension (renin inhibitor)	C0085580	Essential Hypertension	Q414904	Q414904	Q414904	Q988405
6051	alitretinoin	USAN_TC	C0281666	50648.0	5300-03-8	treatment			antineoplastic used in the treatment of AIDS-related Kaposi's sarcoma and in the treatment of acute promyelocytic leukemia	C0023487	Acute Promyelocytic Leukemia	Q3611854	Q3611854	Q3611854	Q612108
6106	alosetron	NDFRT	C0291772	253342.0	122852-42-0	may_treat			Abdominal Pain	C0000737	Abdominal Pain	Q416463	Q416463	Q416463	Q183425
6108	alosetron	NDFRT	C0291772	253342.0	122852-42-0	may_treat			Irritable Bowel Syndrome	C0022104	Irritable Bowel Syndrome	Q416463	Q416463	Q416463	Q838966
6130	Alprazolam	NDFRT	C0002333	2611.0	28981-97-7	may_treat			Agoraphobia	C0001818	Agoraphobia	Q319877	Q319877	Q319877	Q174589
6131	Alprazolam	NDFRT	C0002333	2611.0	28981-97-7	may_treat			Depressive Disorder	C0011581	Depressive Disorder	Q319877	Q319877	Q319877	Q66793701
6132	Alprazolam	NDFRT	C0002333	2611.0	28981-97-7	may_treat			Panic Disorder	C0030319	Panic Disorder	Q319877	Q319877	Q319877	Q741713
6149	Alprostadil	NDFRT	C0002335	15544.0	745-65-3	may_treat			Aortic Coarctation	C0003492	Aortic Coarctation	Q579348	Q579348	Q579348	Q616066
6150	Alprostadil	NDFRT	C0002335	15544.0	745-65-3	may_treat			Ductus Arteriosus, Patent	C0013274	Patent Ductus Arteriosus	Q579348	Q579348	Q579348	Q2072063
6151	Alprostadil	NDFRT	C0002335	15544.0	745-65-3	may_treat			Hypertension, Pulmonary	C0020542	Pulmonary Hypertension	Q579348	Q579348	Q579348	Q1128595
6152	Alprostadil	NDFRT	C0002335	15544.0	745-65-3	may_treat			Hypoplastic Left Heart Syndrome	C0152101	Hypoplastic Left Heart Syndrome	Q579348	Q579348	Q579348	Q1641399
6153	Alprostadil	NDFRT	C0002335	15544.0	745-65-3	may_treat			Impotence, Vasculogenic	C0243000	Impotence, Vasculogenic	Q579348	Q579348	Q579348	Q18556468
6154	Alprostadil	NDFRT	C0002335	15544.0	745-65-3	may_treat			Pulmonary Valve Stenosis	C0034089	Pulmonary Valve Stenosis	Q579348	Q579348	Q579348	Q579527
6155	Alprostadil	NDFRT	C0002335	15544.0	745-65-3	may_treat			Tetralogy of Fallot	C0039685	Tetralogy Of Fallot	Q579348	Q579348	Q579348	Q1126831
6156	Alprostadil	NDFRT	C0002335	15544.0	745-65-3	may_treat			Tricuspid Atresia	C0243002	Tricuspid Atresia	Q579348	Q579348	Q579348	Q1283303
6191	Amantadine	DrugBank	C0002403	2618.0	768-94-5	treatment		14	For the chemoprophylaxis, prophylaxis, and treatment of signs and symptoms of infection caused by various strains of influenza A virus, Also for the treatment of parkinsonism and drug-induced extrapyramidal reactions.	C0242422	Parkinsonian Disorders	Q409761	Q409761	Q409761	Q1531991
6198	Amantadine	NDFRT	C0002403	2618.0	768-94-5	may_treat			Parkinson Disease	C0030567	Parkinson Disease	Q409761	Q409761	Q409761	Q11085
6206	amcinonide	NDFRT	C0051556	31199.0	51022-69-6	may_treat			Dermatitis	C0011603	Dermatitis	Q4742041	Q4742041	Q4742041	Q229256
