,application_number,brand_name,generic_name,is_original_packager,manufacturer_name,nui,original_packager_product_ndc,package_ndc,pharm_class_cs,pharm_class_epc,pharm_class_moa,pharm_class_pe,product_ndc,product_type,route,rxcui,rxcui_brandname,rxcui_ingredient,spl_id,spl_set_id,substance_name,unii,upc
4964,NDA020125,ACCURETIC,QUINAPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,[True],PARKE-DAVIS DIV OF PFIZER INC,"['N0000166469', 'N0000175419', 'N0000175359']",[],"['0071-0222-23', '0071-0223-23', '0071-0220-23']",['Thiazides [Chemical/Ingredient]'],['Thiazide Diuretic [EPC]'],[],['Increased Diuresis [PE]'],"['0071-0220', '0071-0222', '0071-0223']",HUMAN PRESCRIPTION DRUG,['ORAL'],"['809858', '310796', '310797', '809854', '310809', '882559']",151293,261417,D2A9BE08-66C2-4816-AB83-44597ACCAA34,80E9D61D-9674-4AC4-B84C-79A875D408DD,"['QUINAPRIL HYDROCHLORIDE', 'HYDROCHLOROTHIAZIDE']","['33067B3N2M', '0J48LPH2TH']",['0300710222236']
4330,NDA020184,ACEON,PERINDOPRIL ERBUMINE,[True],XOMA (US) LLC,[],[],"['76234-001-01', '76234-002-01', '76234-000-01']",[],[],[],[],"['76234-000', '76234-001', '76234-002']",HUMAN PRESCRIPTION DRUG,['ORAL'],"['854988', '854986', '854984', '854990', '854925', '854927']",261438,72260,C5B3AF32-3502-4828-8DE2-CCCB3F2A3994,97A9E8BF-91ED-4256-97D4-F9504BB01373,['PERINDOPRIL ERBUMINE'],['1964X464OJ'],['0376234002012']
5530,NDA021539,ACETADOTE,ACETYLCYSTEINE,[True],CUMBERLAND PHARMACEUTICALS INC.,"['N0000175547', 'N0000175429', 'N0000175961', 'N0000175960', 'N0000175776', 'N0000008867']",[],['66220-207-30'],[],"['Mucolytic [EPC]', 'Antidote for Acetaminophen Overdose [EPC]', 'Antidote [EPC]']",['Reduction Activity [MoA]'],"['Decreased Respiratory Secretion Viscosity [PE]', 'Increased Glutathione Concentration [PE]']",['66220-207'],HUMAN PRESCRIPTION DRUG,['INTRAVENOUS'],"['582119', '465377']",404825,197,084C6CF6-84DC-41EE-B1F0-C7411C53A4E6,472F158A-5AB9-4308-8E49-1116E6EA3D39,['ACETYLCYSTEINE'],['WYQ7N0BPYC'],[]
506,ANDA089805,ACETAMINOPHEN WITH CODEINE,"ACETAMINOPHEN, CODEINE PHOSPHATE",[True],"PHARMPAK, INC.",[],[],['54348-015-01'],[],[],[],[],['54348-015'],HUMAN PRESCRIPTION DRUG,['ORAL'],['993781'],220586,817579,AB7B039F-49A0-4C2B-B1AD-B14E89448CC8,36ADB32C-638C-4D6E-B66A-1A1C35174CE6,"['CODEINE PHOSPHATE', 'ACETAMINOPHEN']","['GSL05Y1MN6', '362O9ITL9D']",[]
698,NDA050278,ACHROMYCIN V,TETRACYCLINE HCL,[True],HERITAGE PHARMACEUTICALS INC.,[],[],"['23155-488-01', '23155-487-10', '23155-487-01', '23155-488-05']",[],[],[],[],"['23155-488', '23155-487']",HUMAN PRESCRIPTION DRUG,['ORAL'],"['198250', '1541233', '198252', '203970']",196201,10395,D877F7F0-ED9D-48B0-8EA0-11E672D27307,EAECD9A1-E13E-49B1-8B3C-8E1EF016CACD,['TETRACYCLINE HYDROCHLORIDE'],['P6R62377KV'],[]
438,NDA020973,ACIPHEX,RABEPRAZOLE SODIUM,[],LAKE ERIE MEDICAL & SURGICAL SUPPLIES DBA QUALITY CARE PRODUCTS LLC,[],['62856-243'],['49999-447-30'],[],[],[],[],['49999-447'],HUMAN PRESCRIPTION DRUG,['ORAL'],"['854868', '854870']",261440,226868,533DBCC4-1C27-4AB8-80CB-D84F68A4634B,6E6F6C6D-4826-4817-90FF-5C3F4FBE8909,['RABEPRAZOLE SODIUM'],['3L36P16U4R'],[]
5061,NDA204736,ACIPHEX SPRINKLE,RABEPRAZOLE SODIUM,[True],"AVADEL PHARMACEUTICALS (USA), INC.",[],[],"['13551-205-01', '13551-210-01']",[],[],[],[],"['13551-210', '13551-205']",HUMAN PRESCRIPTION DRUG,['ORAL'],"['1483319', '1483318', '1437489', '1437492']",261440,226868,E99F6BDD-778C-4F46-92D2-D448948F2A44,5A1EDAB0-A602-4786-9EF5-40063F9EFDB4,['RABEPRAZOLE SODIUM'],['3L36P16U4R'],['0313551210010']
4184,ANDA076973,ACLOVATE,ALCLOMETASONE DIPROPIONATE,[True],"PHARMADERM, A DIVISION OF NYCOMED US INC.",[],[],"['0462-0264-15', '0462-0264-60', '0462-0263-15', '0462-0263-60']",[],[],[],[],"['0462-0264', '0462-0263']",HUMAN PRESCRIPTION DRUG,['TOPICAL'],"['855474', '855476', '855480', '855482']",214979,17268,FE620BC3-2873-4439-AA92-442FD0313940,23536D6F-6F74-6820-4372-696D696E616C,['ALCLOMETASONE DIPROPIONATE'],['S56PQL4N1V'],[]
3568,NDA205931,ACTICLATE,DOXYCYCLINE HYCLATE,[True],AQUA PHARMACEUTICALS,[],[],"['16110-501-01', '16110-502-01']",[],[],[],[],"['16110-502', '16110-501']",HUMAN PRESCRIPTION DRUG,['ORAL'],"['1649425', '1543955', '1543953', '1650446']",1543946,23663,156FA864-AFF6-49B1-AE79-E0E590A703F5,115F1010-882F-11E3-BAA7-0800200C9A66,['DOXYCYCLINE HYCLATE'],['19XTS3T51U'],['0316110502014']
3983,NDA019594,ACTIGALL,URSODIOL,[True],"ALLERGAN, INC.","['N0000175802', 'N0000006801']",[],['0023-6145-01'],['Bile Acids and Salts [Chemical/Ingredient]'],['Bile Acid [EPC]'],[],[],['0023-6145'],HUMAN PRESCRIPTION DRUG,['ORAL'],"['858749', '858747']",215007,11065,BFC3EA7F-9E88-496B-A8ED-619D7D8250FA,AD414461-262F-43FE-9A3D-BAB300B719ED,['URSODIOL'],['724L30Y2QR'],[]
5675,NDA020747,ACTIQ,FENTANYL CITRATE,[True],"CEPHALON, INC.",[],[],"['63459-512-01', '63459-508-01', '63459-502-01', '63459-504-30', '63459-502-30', '63459-504-01', '63459-516-30', '63459-516-01', '63459-506-01', '63459-508-30', '63459-512-30', '63459-506-30']",[],[],[],[],"['63459-506', '63459-504', '63459-516', '63459-502', '63459-512', '63459-508']",HUMAN PRESCRIPTION DRUG,"['ORAL', 'TRANSMUCOSAL']","['310293', '310297', '313993', '310295', '310294', '262219', '313992', '261106', '261107', '261110', '261108', '261109']",215008,4337,C1A84A13-3972-467C-9BFE-903A23C38374,90B94524-F913-48B3-3771-7B2FCFFD888A,['FENTANYL CITRATE'],['MUN5LYG46H'],[]
2956,NDA021842,ACTOPLUS MET,PIOGLITAZONE AND METFORMIN HYDROCHLORIDE,[True],"TAKEDA PHARMACEUTICALS AMERICA, INC.",[],[],"['64764-155-60', '64764-155-41', '64764-158-18', '64764-158-60', '64764-158-41', '64764-155-18']",[],[],[],[],"['64764-158', '64764-155']",HUMAN PRESCRIPTION DRUG,['ORAL'],"['861824', '861783', '861785', '861822']",602411,607999,D3DDC329-A501-4086-A821-901D9461D4CB,42E49120-6F3F-11DB-9FE1-0800200C9A66,"['METFORMIN HYDROCHLORIDE', 'PIOGLITAZONE HYDROCHLORIDE']","['JQT35NPK6C', '786Z46389E']",['0364764155605']
6299,NDA022024,ACTOPLUS MET XR,PIOGLITAZONE AND METFORMIN HYDROCHLORIDE,[True],"TAKEDA PHARMACEUTICALS AMERICA, INC.",[],[],"['64764-510-60', '64764-310-60', '64764-510-90', '64764-310-90', '64764-510-07', '64764-510-33', '64764-510-30', '64764-310-07', '64764-310-30', '64764-310-33']",[],[],[],[],"['64764-310', '64764-510']",HUMAN PRESCRIPTION DRUG,['ORAL'],"['899989', '899993', '899996', '900000']",602411,607999,7D079226-620F-4FFC-9FB0-D40CB6450AEE,F986164C-51A7-41C2-8952-511B8F46D593,"['METFORMIN HYDROCHLORIDE', 'PIOGLITAZONE HYDROCHLORIDE']","['JQT35NPK6C', '786Z46389E']",['0364764310301']
883,NDA021073,ACTOS,PIOGLITAZONE HYDROCHLORIDE,[],LAKE ERIE MEDICAL & SURGICAL SUPPLY DBA QUALITY CARE PRODUCTS LLC,[],"['64764-151', '64764-301', '64764-451']","['49999-451-30', '49999-450-30', '49999-449-30']",[],[],[],[],"['49999-451', '49999-450', '49999-449']",HUMAN PRESCRIPTION DRUG,['ORAL'],"['261268', '312440', '312441', '261267', '261266', '317573']",261442,33738,4BE80657-C3C5-4FC7-BC0A-0DC1AD037E68,1F93FA66-C086-4811-A9AE-7B76BFAFEF2B,['PIOGLITAZONE HYDROCHLORIDE'],['JQT35NPK6C'],[]
396,NDA019700,ACULAR,KETOROLAC TROMETHAMINE,[],REBEL DISTRIBUTORS CORP.,[],['0023-2181'],['21695-463-05'],[],[],[],[],['21695-463'],HUMAN PRESCRIPTION DRUG,['OPHTHALMIC'],"['860109', '860107']",152819,28200,8014FA52-6180-4365-8285-0943A036A6F6,8014FA52-6180-4365-8285-0943A036A6F6,['KETOROLAC TROMETHAMINE'],['4EVE5946BQ'],[]
4259,NDA021528,ACULAR LS,KETOROLAC TROMETHAMINE,[True],"ALLERGAN, INC.",[],[],['0023-9277-05'],[],[],[],[],['0023-9277'],HUMAN PRESCRIPTION DRUG,['OPHTHALMIC'],"['860103', '860105']",152819,28200,54D6D56E-F44B-4D02-A1B2-8A9033080E73,4FAD0873-F79C-4F07-9FAC-5060BE6B38FE,['KETOROLAC TROMETHAMINE'],['4EVE5946BQ'],[]
6565,NDA021794,ACZONE,DAPSONE,[True],"ALLERGAN, INC.","['N0000008053', 'N0000175881']",[],"['0023-3670-90', '0023-3670-60', '0023-3670-30', '0023-3670-03']",['Sulfones [Chemical/Ingredient]'],['Sulfone [EPC]'],[],[],['0023-3670'],HUMAN PRESCRIPTION DRUG,['TOPICAL'],"['607295', '701858']",605173,3108,ABBFEE6F-4526-4702-9790-88B7D22B8B93,B7D605CF-BF84-461B-939B-1F773A4CBA65,['DAPSONE'],['8W5C518302'],['0300233670903']
3964,NDA207154,"ACZONE (DAPSONE) GEL, 7.5%",DAPSONE,[True],"ALLERGAN, INC.","['N0000008053', 'N0000175881']",[],"['0023-5206-90', '0023-5206-30', '0023-5206-60']",['Sulfones [Chemical/Ingredient]'],['Sulfone [EPC]'],[],[],['0023-5206'],HUMAN PRESCRIPTION DRUG,['TOPICAL'],"['1741905', '1741907']",605173,3108,3E79FA8D-8B32-4578-8CA4-012BFCDD910D,E3426F2F-4D2B-40B4-AC26-E7D873C30F78,['DAPSONE'],['8W5C518302'],['0300235206605']
683,NDA020198,ADALAT CC,NIFEDIPINE,[],"APHENA PHARMA SOLUTIONS - TENNESSEE, LLC","['N0000175421', 'N0000007556', 'N0000000069']",['50419-703'],"['67544-185-82', '67544-185-60', '67544-185-81']",['Dihydropyridines [Chemical/Ingredient]'],['Dihydropyridine Calcium Channel Blocker [EPC]'],['Calcium Channel Antagonists [MoA]'],[],['67544-185'],HUMAN PRESCRIPTION DRUG,['ORAL'],"['672918', '198036']",151131,7417,28F2A162-654F-48D1-B0D8-41E06D8ECA95,8D247BFB-8309-4CB8-847C-B4619A3D36D8,['NIFEDIPINE'],['I9ZF7L6G2L'],[]
2348,NDA022549,ADASUVE,LOXAPINE,[True],GALEN US INCORPORATED,[],[],"['10885-003-01', '10885-003-05']",[],[],[],[],['10885-003'],HUMAN PRESCRIPTION DRUG,['RESPIRATORY (INHALATION)'],"['1367518', '1367521']",1364415,6475,C2F7C89C-D29D-4C2C-A2B9-432C3BE4EB58,257148B5-869E-4A06-89CA-8B8686E8E528,['LOXAPINE'],['LER583670J'],[]
5435,NDA022526,ADDYI,FLIBANSERIN,[True],"SPROUT PHARMACEUTICALS, INC.",['N0000185503'],[],"['58604-214-03', '58604-214-30']",[],[],['P-Glycoprotein Inhibitors [MoA]'],[],['58604-214'],HUMAN PRESCRIPTION DRUG,['ORAL'],"['1666391', '1665514']",1666386,1665509,5A8145A5-061F-46AA-BB48-A282B91B627A,3819DAF3-E935-2C53-C527-E1D57922F394,['FLIBANSERIN'],['37JK4STR6Z'],[]
4650,NDA204819,ADEMPAS,RIOCIGUAT,[True],BAYER HEALTHCARE PHARMACEUTICALS INC.,"['N0000190485', 'N0000190484']",[],"['50419-250-03', '50419-250-01', '50419-253-91', '50419-251-01', '50419-251-03', '50419-254-03', '50419-254-01', '50419-254-91', '50419-252-91', '50419-250-91', '50419-251-91', '50419-252-01', '50419-252-03', '50419-253-03', '50419-253-01']",[],['Soluble Guanylate Cyclase Stimulator [EPC]'],['Guanylate Cyclase Stimulators [MoA]'],[],"['50419-250', '50419-251', '50419-252', '50419-253', '50419-254']",HUMAN PRESCRIPTION DRUG,['ORAL'],"['1439894', '1439896', '1439899', '1439903', '1439901', '1439837', '1439833', '1439821', '1439831', '1439823']",1439889,1439816,55CFE406-6338-4AE0-8313-88A1466EF7D9,7B57509A-3D5D-41D4-8FED-1471E26372A3,['RIOCIGUAT'],['RU3FE2Y4XI'],[]
1201,NDA019937,ADENOCARD,ADENOSINE,[True],"ASTELLAS PHARMA US, INC.","['N0000175788', 'N0000178375']",[],"['0469-8234-12', '0469-8234-14']",[],['Adenosine Receptor Agonist [EPC]'],['Adenosine Receptor Agonists [MoA]'],[],['0469-8234'],HUMAN PRESCRIPTION DRUG,['INTRAVENOUS'],"['727360', '727361', '727355', '727357']",258345,296,C617444D-EDAF-4B37-8EA1-DE8D411C9F44,F0E32589-DAD9-4887-8481-BCF7F6618466,['ADENOSINE'],['K72T3FS567'],[]
3690,NDA020059,ADENOSCAN,ADENOSINE,[True],"ASTELLAS PHARMA US, INC.","['N0000175788', 'N0000178375']",[],"['0469-0871-30', '0469-0871-20']",[],['Adenosine Receptor Agonist [EPC]'],['Adenosine Receptor Agonists [MoA]'],[],['0469-0871'],HUMAN PRESCRIPTION DRUG,['INTRAVENOUS'],"['1654035', '1654037', '1654041', '1654040']",215025,296,08F24E07-C578-4B8B-AF70-C8A0926BA91C,E49090C7-8968-405F-85D4-17A0EC5BFC58,['ADENOSINE'],['K72T3FS567'],[]
4749,ANDA085128,ADIPEX-P,PHENTERMINE HYDROCHLORIDE,[],"PD-RX PHARMACEUTICALS, INC.",[],['57844-009'],['55289-379-30'],[],[],[],[],['55289-379'],HUMAN PRESCRIPTION DRUG,['ORAL'],"['803354', '803353']",332,82078,56CC21FD-F599-1B52-E054-00144FF88E88,0F0E5A0C-9AE1-45AD-8E9F-47170A037C68,['PHENTERMINE HYDROCHLORIDE'],['0K2I505OTV'],[]
5216,NDA209196,ADMELOG,INSULIN LISPRO,[True],SANOFI-AVENTIS U.S. LLC,"['N0000175453', 'N0000004931']",[],"['0024-5925-05', '0024-5924-10', '0024-5925-01', '0024-5925-00']",['Insulin [Chemical/Ingredient]'],['Insulin Analog [EPC]'],[],[],"['0024-5924', '0024-5925']",HUMAN PRESCRIPTION DRUG,"['INTRAVENOUS', 'SUBCUTANEOUS']","['1992169', '242120', '1992171', '1652639']",1992165,86009,52F798C1-039A-4A64-A3E6-477E855B45F1,0691DEF8-4A7B-4DE3-866F-A280989F47F1,['INSULIN LISPRO'],['GFX7QIS1II'],[]
47,ANDA065055,ADOXA,DOXYCYCLINE,[True],PHARMADERM A DIVISION OF FOUGERA PHARMACEUTICALS INC.,"['N0000007948', 'N0000175882']",[],['10337-815-06'],['Tetracyclines [Chemical/Ingredient]'],['Tetracycline-class Drug [EPC]'],[],[],['10337-815'],HUMAN PRESCRIPTION DRUG,['ORAL'],"['728207', '730065']",353445,203122,26B9E8BD-A1AA-4293-AACC-927CC75149C5,0CECC43F-CC40-4C48-9E43-AE8D77AF4E49,['DOXYCYCLINE'],['N12000U13O'],[]
4942,NDA204200,ADRENALIN,EPINEPRINE,[],"GENERAL INJECTABLES AND VACCINES, INC.","['N0000175555', 'N0000175552', 'N0000000245', 'N0000000209', 'N0000007715', 'N0000175570']",['42023-159'],['52584-159-25'],['Catecholamines [Chemical/Ingredient]'],"['alpha-Adrenergic Agonist [EPC]', 'Catecholamine [EPC]', 'beta-Adrenergic Agonist [EPC]']","['Adrenergic beta-Agonists [MoA]', 'Adrenergic alpha-Agonists [MoA]']",[],['52584-159'],HUMAN PRESCRIPTION DRUG,"['INTRAMUSCULAR', 'SUBCUTANEOUS']","['1660014', '1660016']",1490053,3992,49954B5F-662B-45DA-B365-7C4CBE3E30BD,59C1261B-0239-4B78-9349-B64CDCE5CA5D,['EPINEPHRINE'],['YKH834O4BH'],[]
5978,ANDA064097,ADRIAMYCIN,DOXORUBICIN HYDROCHLORIDE,[True],WEST-WARD PHARMACEUTICALS CORP,[],[],"['0143-9548-10', '0143-9548-01', '0143-9546-01', '0143-9549-01', '0143-9547-01', '0143-9549-10']",[],[],[],[],"['0143-9546', '0143-9547', '0143-9548', '0143-9549']",HUMAN PRESCRIPTION DRUG,['INTRAVENOUS'],"['1799310', '1191138', '1799308', '1799307', '1799305', '1790099', '1790097', '1790100']",42512,142433,105B6182-E10A-48A1-8FCB-4CE2CDA83D4E,0F153C1E-EFCE-4276-8273-D9E4C8455D16,['DOXORUBICIN HYDROCHLORIDE'],['82F2G7BL4E'],[]
3034,ANDA040334,ADRUCIL,FLUOROURACIL,[True],"TEVA PARENTERAL MEDICINES, INC.","['N0000000233', 'N0000175595']",[],"['0703-3018-12', '0703-3018-11', '0703-3019-11', '0703-3019-12']",[],['Nucleoside Metabolic Inhibitor [EPC]'],['Nucleic Acid Synthesis Inhibitors [MoA]'],[],"['0703-3018', '0703-3019']",HUMAN PRESCRIPTION DRUG,['INTRAVENOUS'],"['213841', '239177']",202632,4492,467A0319-3BCF-457D-9170-FF78516B81BD,B90E0DA7-F702-4F09-9488-74F2BB20E9AC,['FLUOROURACIL'],['U3P01618RT'],[]
2062,NDA021163,ADULT INFUVITE MULTIPLE VITAMINS,"ASCORBIC ACID, VITAMIN A PALMITATE, CHOLECALCIFEROL, THIAMINE HYDROCHLORIDE, RIBOFLAVIN-5 PHOSPHATE SODIUM, PYRIDOXINE HYDROCHLORIDE, NIACINAMIDE, DEXPANTHENOL, ALPHA-TOCOPHEROL ACETATE, VITAMIN K1, FOLIC ACID, BIOTIN, CYANOCOBALAMIN",[True],SANDOZ CANADA INC,"['N0000180191', 'N0000006276', 'N0000006277', 'N0000175965', 'N0000175951', 'N0000175952', 'N0000175966', 'N0000175982', 'N0000006290']",[],"['54643-7862-1', '54643-7874-2']","['Vitamin D [Chemical/Ingredient]', 'Vitamin B 12 [Chemical/Ingredient]', 'Vitamin K [Chemical/Ingredient]']","['Vitamin D [EPC]', 'Vitamin K [EPC]', 'Vitamin B12 [EPC]', 'Warfarin Reversal Agent [EPC]']",[],"['Reversed Anticoagulation Activity [PE]', 'Increased Prothrombin Activity [PE]']","['54643-7862', '54643-7874']",HUMAN PRESCRIPTION DRUG,['INTRAVENOUS'],"['1304564', '1304559']",1304560,1304558,F10E7C39-B9CE-4D3B-98E0-891CCB8D0B1A,F10E7C39-B9CE-4D3B-98E0-891CCB8D0B1A,"['ASCORBIC ACID', ""RIBOFLAVIN 5'-PHOSPHATE SODIUM"", 'THIAMINE HYDROCHLORIDE', 'CHOLECALCIFEROL', 'CYANOCOBALAMIN', '.ALPHA.-TOCOPHEROL ACETATE', 'DEXPANTHENOL', 'PHYTONADIONE', 'BIOTIN', 'PYRIDOXINE HYDROCHLORIDE', 'FOLIC ACID', 'VITAMIN A PALMITATE', 'NIACINAMIDE']","['25X51I8RD4', 'A034SE7857', 'M572600E5P', '1D1K0N0VVC', 'PQ6CK8PD0R', '1O6C93RI7Z', '9E8X80D2L0', '1C6V77QF41', '68Y4CF58BV', '935E97BOY8', '20RD1DZH99', '6SO6U10H04', 'P6YC3EG204']",[]
397,NDA021077,ADVAIR DISKUS,FLUTICASONE PROPIONATE AND SALMETEROL,[],REBEL DISTRIBUTORS CORP.,[],"['00173-696', '00173-697']","['21695-197-01', '21695-196-01']",[],[],[],[],"['21695-197', '21695-196']",HUMAN PRESCRIPTION DRUG,"['RESPIRATORY (INHALATION)', 'ORAL']","['896229', '896228', '896209', '896212']",301543,284635,9E0BDEA8-DF9B-4873-B24B-919CEBFF5EDD,9E0BDEA8-DF9B-4873-B24B-919CEBFF5EDD,"['SALMETEROL XINAFOATE', 'FLUTICASONE PROPIONATE']","['O2GMZ0LF5W', '6EW8Q962A5']",[]
